period;num_TraderImpl_EUR;num_CreditBankImpl_EUR;num_HouseholdImpl_EUR;num_CentralBankImpl_EUR;num_FactoryImpl_EUR;num_StateImpl_EUR;retiredHouseholds_EUR;num_TraderImpl_USD;num_CreditBankImpl_USD;num_HouseholdImpl_USD;num_CentralBankImpl_USD;num_FactoryImpl_USD;num_StateImpl_USD;retiredHouseholds_USD;num_TraderImpl_YEN;num_CreditBankImpl_YEN;num_HouseholdImpl_YEN;num_CentralBankImpl_YEN;num_FactoryImpl_YEN;num_StateImpl_YEN;retiredHouseholds_YEN
2001-02-04;10;5;2025;1;83;1;0;10;5;2030;1;83;1;0;10;5;2026;1;83;1;0
2001-02-11;10;5;2029;1;83;1;0;10;5;2035;1;83;1;0;10;5;2031;1;83;1;0
2001-02-18;10;5;2034;1;83;1;0;10;5;2037;1;83;1;0;10;5;2040;1;83;1;0
2001-02-25;10;5;2040;1;83;1;0;10;5;2043;1;83;1;0;10;5;2044;1;83;1;0
2001-03-04;10;5;2042;1;83;1;0;10;5;2047;1;83;1;0;10;5;2049;1;83;1;0
2001-03-11;10;5;2044;1;83;1;0;10;5;2051;1;83;1;0;10;5;2059;1;83;1;0
2001-03-18;10;5;2049;1;83;1;0;10;5;2059;1;83;1;0;10;5;2064;1;83;1;0
2001-03-25;10;5;2059;1;83;1;0;10;5;2060;1;83;1;0;10;5;2071;1;83;1;0
2001-04-01;10;5;2060;1;83;1;0;10;5;2067;1;83;1;0;10;5;2078;1;83;1;0
2001-04-08;10;5;2265;1;83;1;0;10;5;2073;1;83;1;0;10;5;2085;1;83;1;0
2001-04-15;10;5;2271;1;83;1;0;10;5;2078;1;83;1;0;10;5;2091;1;83;1;0
2001-04-22;10;5;2275;1;83;1;0;10;5;2084;1;83;1;0;10;5;2095;1;83;1;0
2001-04-29;10;5;2279;1;83;1;0;10;5;2092;1;83;1;0;10;5;2098;1;83;1;0
2001-05-06;10;5;2281;1;83;1;0;10;5;2099;1;83;1;0;10;5;2101;1;83;1;0
2001-05-13;10;5;2284;1;83;1;0;10;5;2106;1;83;1;0;10;5;2106;1;83;1;0
2001-05-20;10;5;2289;1;83;1;0;10;5;2114;1;83;1;0;10;5;2110;1;83;1;0
2001-05-27;10;5;2291;1;83;1;0;10;5;2118;1;83;1;0;10;5;2114;1;83;1;0
2001-06-03;10;5;2694;1;83;1;0;10;5;2121;1;83;1;0;10;5;2124;1;83;1;0
2001-06-10;10;5;2701;1;83;1;0;10;5;2128;1;83;1;0;10;5;2131;1;83;1;0
2001-06-17;10;5;2706;1;83;1;0;10;5;2132;1;83;1;0;10;5;2133;1;83;1;0
2001-06-24;10;5;2715;1;83;1;0;10;5;2135;1;83;1;0;10;5;2135;1;83;1;0
2001-07-01;10;5;1325;1;83;1;0;10;5;1077;1;83;1;0;10;5;1047;1;83;1;0
2001-07-08;10;5;1314;1;83;1;0;10;5;1068;1;83;1;0;10;5;1038;1;83;1;0
2001-07-15;10;5;1310;1;83;1;0;10;5;1070;1;83;1;0;10;5;1036;1;83;1;0
2001-07-22;10;5;1303;1;83;1;0;10;5;1068;1;83;1;0;10;5;1033;1;83;1;0
2001-07-29;10;5;1296;1;83;1;0;10;5;1063;1;83;1;0;10;5;1031;1;83;1;0
2001-08-05;10;5;1392;1;83;1;0;10;5;1061;1;83;1;0;10;5;1031;1;83;1;0
2001-08-12;10;5;1392;1;83;1;0;10;5;1061;1;83;1;0;10;5;1029;1;83;1;0
2001-08-19;10;5;1389;1;83;1;0;10;5;1061;1;83;1;0;10;5;1028;1;83;1;0
2001-08-26;10;5;1388;1;83;1;0;10;5;1062;1;83;1;0;10;5;1028;1;83;1;0
2001-09-02;10;5;1376;1;83;1;0;10;5;1065;1;83;1;0;10;5;1030;1;83;1;0
2001-09-09;10;5;1375;1;83;1;0;10;5;1065;1;83;1;0;10;5;1027;1;83;1;0
2001-09-16;10;5;1375;1;83;1;0;10;5;1065;1;83;1;0;10;5;1025;1;83;1;0
2001-09-23;10;5;1377;1;83;1;0;10;5;1065;1;83;1;0;10;5;1023;1;83;1;0
2001-09-30;10;5;1380;1;83;1;0;10;5;1066;1;83;1;0;10;5;1018;1;83;1;0
2001-10-07;10;5;1579;1;83;1;0;10;5;1069;1;83;1;0;10;5;1017;1;83;1;0
2001-10-14;10;5;1582;1;83;1;0;10;5;1070;1;83;1;0;10;5;1017;1;83;1;0
2001-10-21;10;5;1583;1;83;1;0;10;5;1071;1;83;1;0;10;5;1017;1;83;1;0
2001-10-28;10;5;1585;1;83;1;0;10;5;1069;1;83;1;0;10;5;1016;1;83;1;0
2001-11-04;10;5;1580;1;83;1;0;10;5;1067;1;83;1;0;10;5;1013;1;83;1;0
2001-11-11;10;5;1575;1;83;1;0;10;5;1067;1;83;1;0;10;5;1012;1;83;1;0
2001-11-18;10;5;1571;1;83;1;0;10;5;1067;1;83;1;0;10;5;1013;1;83;1;0
2001-11-25;10;5;1569;1;83;1;0;10;5;1068;1;83;1;0;10;5;1011;1;83;1;0
2001-12-02;10;5;1567;1;83;1;0;10;5;1067;1;83;1;0;10;5;1011;1;83;1;0
2001-12-09;10;5;1811;1;83;1;0;10;5;1066;1;83;1;0;10;5;1011;1;83;1;0
2001-12-16;10;5;1808;1;83;1;0;10;5;1066;1;83;1;0;10;5;1004;1;83;1;0
2001-12-23;10;5;1805;1;83;1;0;10;5;1064;1;83;1;0;10;5;1003;1;83;1;0
2001-12-30;10;5;1786;1;83;1;0;10;5;1066;1;83;1;0;10;5;1004;1;83;1;0
2002-01-06;10;5;1780;1;83;1;0;10;5;1067;1;83;1;0;10;5;1003;1;83;1;0
2002-01-13;10;5;1769;1;83;1;0;10;5;1067;1;83;1;0;10;5;1005;1;83;1;0
2002-01-20;10;5;1759;1;83;1;0;10;5;1067;1;83;1;0;10;5;1006;1;83;1;0
2002-01-27;10;5;1753;1;83;1;0;10;5;1066;1;83;1;0;10;5;1005;1;83;1;0
2002-02-03;10;5;2125;1;83;1;0;10;5;1066;1;83;1;0;10;5;1005;1;83;1;0
2002-02-10;10;5;2110;1;83;1;0;10;5;1067;1;83;1;0;10;5;1007;1;83;1;0
2002-02-17;10;5;2090;1;83;1;0;10;5;1067;1;83;1;0;10;5;1008;1;83;1;0
2002-02-24;10;5;2070;1;83;1;0;10;5;1067;1;83;1;0;10;5;1011;1;83;1;0
2002-03-03;10;5;2040;1;83;1;0;10;5;1069;1;83;1;0;10;5;1012;1;83;1;0
2002-03-10;10;5;2019;1;83;1;0;10;5;1069;1;83;1;0;10;5;1014;1;83;1;0
2002-03-17;10;5;1977;1;83;1;0;10;5;1069;1;83;1;0;10;5;1016;1;83;1;0
2002-03-24;10;5;1953;1;83;1;0;10;5;1070;1;83;1;0;10;5;1016;1;83;1;0
2002-03-31;10;5;1916;1;83;1;0;10;5;1070;1;83;1;0;10;5;1018;1;83;1;0
2002-04-07;10;5;2568;1;83;1;0;10;5;1070;1;83;1;0;10;5;1022;1;83;1;0
2002-04-14;10;5;2533;1;83;1;0;10;5;1071;1;83;1;0;10;5;1024;1;83;1;0
2002-04-21;10;5;2477;1;83;1;0;10;5;1070;1;83;1;0;10;5;1023;1;83;1;0
2002-04-28;10;5;2410;1;83;1;0;10;5;1065;1;83;1;0;10;5;1022;1;83;1;0
2002-05-05;10;5;2364;1;83;1;0;10;5;1059;1;83;1;0;10;5;1021;1;83;1;0
2002-05-12;10;5;2317;1;83;1;0;10;5;1058;1;83;1;0;10;5;1022;1;83;1;0
2002-05-19;10;5;2283;1;83;1;0;10;5;1055;1;83;1;0;10;5;1024;1;83;1;0
2002-05-26;10;5;2254;1;83;1;0;10;5;1050;1;83;1;0;10;5;1019;1;83;1;0
2002-06-02;10;5;2225;1;83;1;0;10;5;1048;1;83;1;0;10;5;1018;1;83;1;0
2002-06-09;10;5;3528;1;83;1;0;10;5;1049;1;83;1;0;10;5;1016;1;83;1;0
2002-06-16;10;5;3354;1;83;1;0;10;5;1044;1;83;1;0;10;5;1016;1;83;1;0
2002-06-23;10;5;3236;1;83;1;0;10;5;1043;1;83;1;0;10;5;1013;1;83;1;0
2002-06-30;10;5;3160;1;83;1;0;10;5;1042;1;83;1;0;10;5;1009;1;83;1;0
2002-07-07;10;5;3097;1;83;1;0;10;5;1040;1;83;1;0;10;5;1006;1;83;1;0
2002-07-14;10;5;3089;1;83;1;0;10;5;1037;1;83;1;0;10;5;1006;1;83;1;0
2002-07-21;10;5;3088;1;83;1;0;10;5;1035;1;83;1;0;10;5;1003;1;83;1;0
2002-07-28;10;5;3089;1;83;1;0;10;5;1034;1;83;1;0;10;5;1000;1;83;1;0
2002-08-04;10;5;3148;1;83;1;0;10;5;1036;1;83;1;0;10;5;1000;1;83;1;0
2002-08-11;10;5;3148;1;83;1;0;10;5;1035;1;83;1;0;10;5;998;1;83;1;0
2002-08-18;10;5;3142;1;83;1;0;10;5;1033;1;83;1;0;10;5;999;1;83;1;0
2002-08-25;10;5;3126;1;83;1;0;10;5;1033;1;83;1;0;10;5;998;1;83;1;0
2002-09-01;10;5;3095;1;83;1;0;10;5;1035;1;83;1;0;10;5;997;1;83;1;0
2002-09-08;10;5;3043;1;83;1;0;10;5;1032;1;83;1;0;10;5;1000;1;83;1;0
2002-09-15;10;5;2999;1;83;1;0;10;5;1031;1;83;1;0;10;5;996;1;83;1;0
2002-09-22;10;5;2921;1;83;1;0;10;5;1025;1;83;1;0;10;5;998;1;83;1;0
2002-09-29;10;5;2872;1;83;1;0;10;5;1020;1;83;1;0;10;5;998;1;83;1;0
2002-10-06;10;5;3038;1;83;1;0;10;5;1018;1;83;1;0;10;5;994;1;83;1;0
2002-10-13;10;5;2961;1;83;1;0;10;5;1014;1;83;1;0;10;5;993;1;83;1;0
2002-10-20;10;5;2920;1;83;1;0;10;5;1014;1;83;1;0;10;5;992;1;83;1;0
2002-10-27;10;5;2848;1;83;1;0;10;5;1009;1;83;1;0;10;5;990;1;83;1;0
2002-11-03;10;5;2789;1;83;1;0;10;5;1011;1;83;1;0;10;5;989;1;83;1;0
2002-11-10;10;5;2718;1;83;1;0;10;5;1012;1;83;1;0;10;5;988;1;83;1;0
2002-11-17;10;5;2690;1;83;1;0;10;5;1015;1;83;1;0;10;5;986;1;83;1;0
2002-11-24;10;5;2635;1;83;1;0;10;5;1017;1;83;1;0;10;5;985;1;83;1;0
2002-12-01;10;5;2566;1;83;1;0;10;5;1018;1;83;1;0;10;5;985;1;83;1;0
2002-12-08;10;5;2898;1;83;1;0;10;5;1020;1;83;1;0;10;5;982;1;83;1;0
2002-12-15;10;5;2833;1;83;1;0;10;5;1020;1;83;1;0;10;5;983;1;83;1;0
2002-12-22;10;5;2753;1;83;1;0;10;5;1020;1;83;1;0;10;5;984;1;83;1;0
2002-12-29;10;5;2660;1;83;1;0;10;5;1021;1;83;1;0;10;5;986;1;83;1;0
2003-01-05;10;5;2568;1;83;1;0;10;5;1022;1;83;1;0;10;5;986;1;83;1;0
2003-01-12;10;5;2462;1;83;1;0;10;5;1023;1;83;1;0;10;5;986;1;83;1;0
2003-01-19;10;5;2343;1;83;1;0;10;5;1023;1;83;1;0;10;5;986;1;83;1;0
2003-01-26;10;5;2271;1;83;1;0;10;5;1025;1;83;1;0;10;5;987;1;83;1;0
