period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-02-04;0;650248.230600417;624811.917536991;1404038.9513795;2.24713855797473;0;8.74094308681086;0.994896664945984;0;564974.360018411;564974.360018411;1296298.32648836;2.29443744393306;0;11.9286318812261;0.906121863654069;0;610099.938250184;610099.938250184;1538343.07245237;2.52146079028374;0;9.49474844051569;0.941926763399496
2001-02-11;0;619067.542165521;686874.802930399;1172304.04325003;1.70672157174591;0.0396166053096842;18.452443051871;0.97238224562544;0;578871.959567893;578871.959567893;1196406.98922884;2.06679036608012;0.0352508552155671;17.7376421180845;0.925433344724822;0;624653.348512338;624653.348512338;1231015.97438961;1.97071860308021;0.0204123829140537;15.0947481623409;0.96876854109672
2001-02-18;0;697749.330980212;618994.409395789;1368615.69575726;2.21103078635749;0.0385093027071274;18.4594421938069;0.917812353142653;0;540069.336339032;540069.336339032;1269670.4438952;2.35093970063533;0.05;24.5168569548341;0.960419659010933;0;588715.352494028;588715.352494028;1279990.41967805;2.1742093428607;0.05;26.1263862934934;0.968450280865516
2001-02-25;0;715385.16876307;712322.398392412;1433717.08597939;2.01273621216326;0.0349186428469251;17.8797586462341;0.878590579681153;0;497571.052807752;497571.052807752;1429328.03682598;2.87261091408032;0.05;28.4418641470215;0.9651634062245;0;521175.562600432;521175.562600432;1578521.79711866;3.02877170457215;0.05;30.7174941836929;0.962133091096439
2001-03-04;0;685775.694306956;681421.255601161;1410602.69832856;2.07008907740059;0.0268832990411498;16.4216126532335;0.844657458472209;0;524661.163618835;524661.163618835;1237039.08939491;2.35778665389004;0.05;31.5342722281649;0.953318141447525;0;529875.870688737;529875.870688737;1216724.2121881;2.29624385538936;0.05;35.8422573774685;0.947291391331135
2001-03-11;0;535527.661784485;595866.119325619;1294591.96175093;2.17262220449135;0.0197587910155014;15.1187387141558;0.787200248546622;0;499675.946320096;499675.946320096;1246409.43749192;2.49443553701394;0.05;33.5951980091218;0.939995527855633;0;550177.02402899;550177.02402899;1473180.80092203;2.67764871410625;0.05;35.0024948249818;0.93529677469326
2001-03-18;0;574148.467229276;523183.502184851;1195280.60199695;2.28462976566611;0.0167845087704285;14.5625598106765;0.715648093405788;0;462486.454638383;462486.454638383;1564820.04816124;3.38349379201768;0.05;31.7293401735442;0.923906603016137;0;589069.46605262;589069.46605262;1512071.51396177;2.56688149887351;0.05;32.3192029105381;0.917430029157342
2001-03-25;0;508921.097921167;530740.331320077;1088057.20285565;2.05007446890156;0.0179536644902523;14.8104187258022;0.672910027130467;0;485990.362049512;485990.362049512;1341795.74591487;2.76095134943883;0.05;30.0094795017649;0.908777960244383;0;533739.879789803;533739.879789803;1251796.41193366;2.34533048650336;0.05;33.3458752932999;0.902875924321765
2001-04-01;0;526901.714517139;492727.183403914;1217565.42588309;2.47107419053231;0.0154855156077903;14.4748037470313;0.646006566876975;0;509390.775222947;509390.775222947;1351412.3404076;2.65299727859445;0.05;31.8694251890437;0.896883649600379;0;560278.22385803;560278.22385803;1519818.9624671;2.71261472916393;0.05;33.0767050660073;0.896198514555315
2001-04-08;0;491593.729172485;486526.425975678;1100864.95128859;2.26270330348639;0.0127087199682203;14.1264889631948;0.61307803371227;0;468179.556111848;468179.556111848;1397001.85420416;2.98390187261919;0.05;30.5081728834106;0.891733078861727;0;575020.642063814;575020.642063814;1518630.44842791;2.64100162209372;0.05;34.4800970806759;0.88293895522217
2001-04-15;0;528036.242397728;479538.282325402;1006192.27125269;2.09825223207083;0.0121631336764064;13.9807837876992;0.594397968443592;0;438616.944345866;438616.944345866;1023525.90820629;2.33353025094079;0.05;30.4596570507207;0.871252130271977;0;501029.313070047;501029.313070047;1361819.57144878;2.71804370707226;0.05;33.7234125296217;0.866926543393783
