period;income_EUR;consumption_EUR;consumptionRate_EUR;saving_EUR;savingRate_EUR;wage_EUR;dividend_EUR;governmentTransfers_EUR;budget_EUR;labourHourCapacity_EUR;retiredHouseholds_EUR;utility_EUR;utilityInput_COTTON_EUR;utilityInput_KILOWATT_EUR;utilityInput_WHEAT_EUR;utilityInput_REALESTATE_EUR;utilityInput_CLOTHING_EUR;utilityInput_LABOURHOUR_EUR;utilityInput_IRON_EUR;utilityInput_FOOD_EUR;utilityInput_COAL_EUR;incomeSource_DIVIDEND_EUR;incomeSource_TRANSFERS_EUR;incomeSource_WAGE_EUR;incomeDistribution_quantil5Percent_EUR;incomeDistribution_quantil50Percent_EUR;incomeDistribution_quantil95Percent_EUR;incomeDistribution_quantil99Percent_EUR;incomeDistribution_yTotalSum_EUR;incomeDistribution_incomeAt10PercentY_EUR;incomeDistribution_incomeAt50PercentY_EUR;incomeDistribution_incomeAt90PercentY_EUR;income_USD;consumption_USD;consumptionRate_USD;saving_USD;savingRate_USD;wage_USD;dividend_USD;governmentTransfers_USD;budget_USD;labourHourCapacity_USD;retiredHouseholds_USD;utility_USD;utilityInput_COTTON_USD;utilityInput_KILOWATT_USD;utilityInput_WHEAT_USD;utilityInput_REALESTATE_USD;utilityInput_CLOTHING_USD;utilityInput_LABOURHOUR_USD;utilityInput_IRON_USD;utilityInput_FOOD_USD;utilityInput_COAL_USD;incomeSource_DIVIDEND_USD;incomeSource_TRANSFERS_USD;incomeSource_WAGE_USD;incomeDistribution_quantil5Percent_USD;incomeDistribution_quantil50Percent_USD;incomeDistribution_quantil95Percent_USD;incomeDistribution_quantil99Percent_USD;incomeDistribution_yTotalSum_USD;incomeDistribution_incomeAt10PercentY_USD;incomeDistribution_incomeAt50PercentY_USD;incomeDistribution_incomeAt90PercentY_USD;income_YEN;consumption_YEN;consumptionRate_YEN;saving_YEN;savingRate_YEN;wage_YEN;dividend_YEN;governmentTransfers_YEN;budget_YEN;labourHourCapacity_YEN;retiredHouseholds_YEN;utility_YEN;utilityInput_COTTON_YEN;utilityInput_KILOWATT_YEN;utilityInput_WHEAT_YEN;utilityInput_REALESTATE_YEN;utilityInput_CLOTHING_YEN;utilityInput_LABOURHOUR_YEN;utilityInput_IRON_YEN;utilityInput_FOOD_YEN;utilityInput_COAL_YEN;incomeSource_DIVIDEND_YEN;incomeSource_TRANSFERS_YEN;incomeSource_WAGE_YEN;incomeDistribution_quantil5Percent_YEN;incomeDistribution_quantil50Percent_YEN;incomeDistribution_quantil95Percent_YEN;incomeDistribution_quantil99Percent_YEN;incomeDistribution_yTotalSum_YEN;incomeDistribution_incomeAt10PercentY_YEN;incomeDistribution_incomeAt50PercentY_YEN;incomeDistribution_incomeAt90PercentY_YEN
2001-02-04;503421.620550853;503421.620550853;1;0;0;207597.070408947;232302.133539462;0;0;32400;0;4946.85818564285;17375.090879792;7.81061802077115;18633.8461173459;4.50489016485816;12.716817973164;2618.92147687212;15522.4048072513;19.452230760897;17085.1571256075;0.486857568187625;0;0.513142431812375;80.0506408620868;240.469895119635;506.055449713095;609.850819897141;536543.637227834;166.748025257826;325.872520912565;506.88483322735;542214.702438068;542214.702438068;1;0;0;237655.139143447;264916.078269772;0;0;32448;0;5170.78836075376;18033.7341609914;14.888725666377;17550.1808863083;10.4556766910064;22.6891449434588;2052.47910045481;18020.0142815081;34.9647476620316;17463.7372267421;0.47845976230714;0;0.52154023769286;75.003835779511;273.776084471321;474.792723584558;544.713452153692;542214.702438067;196.043297546951;302.585081294707;474.792723468126;601524.33076245;601524.33076245;1;0;0;271166.001737174;288207.21395972;0;0;32416;0;5287.09441437223;18359.8827588784;13.7533759946689;18018.1663060559;10.2156514321249;24.1642929261458;2512.53074186741;18759.0698422947;31.2298866668872;19112.9098713893;0.47982628414098;0;0.52017371585902;111.807299812375;295.73994765856;592.309795125684;603.768544154494;601524.33076245;217.357689027414;342.957946215781;592.32938878026
2001-02-11;384088.732112978;384088.732112978;1;0;0;211187.093219893;39870.6704120749;0;0;32464;0;3279.07749797515;7123.63574682982;2.48376756657403;7191.71348943208;2.26700660575793;2.95682525768028;6592.30653557452;7934.48075056449;3.01922288136228;7699.37790429649;0.44923174786965;0;0.55076825213035;30.0134899130153;247.004952230305;328.754756814347;415.86769263313;412785.202050632;186.529818225373;252.958241312952;325.960586881017;659037.225141413;659037.225141413;1;0;0;339786.059308605;280801.995703233;0;0;32560;0;5464.08934044616;19021.7910985563;16.4412120156896;19165.2546523043;9.73284249767839;32.0611987192801;2325.30272673183;20094.333147135;45.4405112764862;19599.6637848042;0.475607990958885;0;0.524392009041115;121.55759961879;316.107575644307;525.350610420065;597.815918372786;659037.225141411;237.798652341965;369.987321282053;515.503918848142;626667.84889245;626667.84889245;1;0;0;290224.011855486;293790.066367048;0;0;32480;0;5085.854341798;18140.4215871034;13.4531658398917;17532.7311499214;9.72443676034004;30.5358191208544;2338.01012935719;17001.2114446504;47.0216130513219;17484.9933700965;0.477938606156193;0;0.522061393843808;19.4859915284091;322.303260661966;561.549880711388;593.519631769437;626667.848892451;213.216996713508;388.034448844242;561.532105924474
2001-02-18;315338.694048456;315338.694048456;1;0;0;133588.365307552;124584.627402021;0;0;32544;0;2771.30265452466;5305.91285329481;3.10289430809486;5024.1766649944;1.74317425578978;3.3111942172078;2559.42615080434;5096.75814855648;6.08359977055236;4882.95257103537;0.441389521965552;0;0.558610478034449;12.7029270485501;92.4957822737316;324.557999708279;367.007296638894;272236.15991914;71.6995419720495;233.6522413195;333.849436526729;672671.877030081;672671.877030081;1;0;0;319037.521041421;303760.489613954;0;0;32592;0;5116.40959258008;17296.8430922607;22.2578945738613;16999.9626947287;11.4008312025703;36.8680900939205;2340.8718150156;18112.7126797266;53.6307258749843;18459.4189509016;0.475768256983594;0;0.524231743016407;18.5337238114718;343.230529914005;583.242932937842;680.300567376328;672671.877030082;253.282764577076;429.075457717952;579.253457595886;759914.964924737;759914.964924737;1;0;0;358892.60787682;347465.630369938;0;0;32624;0;5353.5868824314;18642.6792404276;14.7699697192772;17783.7345641688;9.77406711632076;36.8577558285247;2948.05893158419;18503.2777725801;51.5102533407663;18006.2914469254;0.478056355022159;0;0.521943644977841;119.665731651523;365.322248354713;614.104130579881;713.869118124362;759914.964924737;265.379766792227;408.638160623725;594.271635742716
2001-02-25;356243.475003551;356243.475003551;1;0;0;152883.993351387;144700.996048284;0;0;32576;0;3494.87577601867;7234.005625601;2.14413007235997;7551.3447085846;1.56371317458875;3.27190329259172;4400.85084112123;7528.89470133018;7.66017821018245;7789.17948122253;0.442632185603228;0;0.557367814396772;9.46135915452069;196.423485075085;433.364585482782;447.885022615287;402353.527706193;122.297752761228;283.735362226599;438.881715280947;564625.515160587;564625.515160587;1;0;0;227912.818390119;285330.375587777;0;0;32688;0;4504.62288948564;13463.3827302112;17.7588484309254;13676.8357381154;14.0915996224441;26.2475819700795;2076.419850456;13129.8520688631;34.3030928931958;13420.4472588123;0.477584262771372;0;0.522415737228628;29.7015751852704;271.952484308087;561.282031432467;601.494396897306;564625.515160588;144.419892369799;347.137904231521;561.282135028269;733194.938689294;733194.938689294;1;0;0;299069.398886997;376829.50348795;0;0;32704;0;4943.98586943202;15649.6771853026;19.4912298975973;14473.9989856066;14.0428493212833;30.4422506058278;3046.91033194193;16348.0630864258;42.4340605099092;16793.8775715066;0.48610400014055;0;0.51389599985945;43.1438587843926;362.690202390003;611.455018374741;718.900051025207;733194.938689295;221.635016817882;444.123165141523;610.36064656163
2001-03-04;450261.940662296;450261.940662296;1;0;0;200491.22653526;192761.918626648;0;0;32672;0;3709.29341908849;8134.21197009905;3.36233583145824;7495.186155261;1.85417929450389;5.11864893657042;5560.63971294544;7471.83899194147;6.83725539572554;7302.34695693855;0.447622525289715;0;0.552377474710285;55.1176108538847;229.540372340392;364.316424148552;453.883408213825;442889.515918282;124.433065304234;266.713212069791;363.432473240235;647478.966576921;647478.966576921;1;0;0;280683.566357375;317602.499825996;0;0;32752;0;4687.70059868461;14400.1550516352;19.7579208220811;14835.6904014334;12.6503811131087;30.847906762485;2600.32561444043;14227.9049970345;42.1535529061847;15039.7226502485;0.484237195711014;0;0.515762804288986;19.1337408264063;298.060408210574;644.810160956344;647.730013463754;647478.96657692;198.163156612301;398.026059568568;644.810161573776;635697.891042812;635697.891042812;1;0;0;269574.492234574;309783.14586299;0;0;32752;0;4505.79309405391;12962.6134499592;19.3931915090435;12412.4224562742;13.8054731831243;27.0764235002543;2740.40982637795;14266.3081633939;40.3628272963596;13271.2776313703;0.493645451463062;0;0.506354548536938;31.061674194722;308.508384730621;582.378478721416;771.925465325609;635697.891042811;204.648892117721;404.266416062782;586.678601468926
2001-03-11;456336.750344157;456336.750344157;1;0;0;208425.698947624;147846.712790945;0;0;32704;0;3726.93370891939;7535.36602487934;6.63377216546229;7820.65252039316;3.23039670434835;8.84442245782947;6328.81556043482;7556.84338913765;10.8867415771377;7338.55686331776;0.44798190735465;0;0.55201809264535;41.6083697017043;215.052724463123;418.051959370396;510.935467181723;473048.951634104;148.661535641151;298.540529197068;418.154773798875;639199.507240773;639199.507240773;1;0;0;323238.418916951;267071.031422579;0;0;32800;0;4629.9394800163;14842.5641631422;24.8121722822317;14230.0207488878;14.2778606033865;33.2865346175003;2561.50672152643;14393.9174775368;39.4044304975748;14029.9584745914;0.490539238034425;0;0.509460761965575;27.4430850035723;273.507114847191;672.031052299381;711.115432721189;639199.507240773;246.252716844712;406.466672162505;672.062569587864;619284.733815868;619284.733815868;1;0;0;227792.518594221;333177.910170364;0;0;32928;0;4323.66008211283;12304.3390013898;17.9675815857066;11983.7105597749;9.82093501202957;24.6577204157857;2652.40717679011;14074.5406803891;36.6726737589223;13696.0565535386;0.501653334080979;0;0.498346665919021;28.4507770287299;282.037575503323;640.101478784973;792.018003007204;619284.733815868;210.993709546858;430.007753164084;726.610598678544
2001-03-18;497375.27115173;497375.27115173;1;0;0;179038.631560954;174116.09601296;0;0;32768;0;3680.78367897476;7643.96615795048;6.20734236128786;7427.06442829783;3.61686065794861;7.65217992305631;6190.1718998923;7491.9676813134;10.7694046672918;7387.31824361043;0.448496536441195;0;0.551503463558805;38.4170581978823;215.985190977678;440.373123437227;539.633260953177;470264.217022886;140.163800146299;307.831422205452;442.274606354579;570522.596819632;570522.596819632;1;0;0;229832.563184637;289985.397701247;0;0;32912;0;4386.16404929056;12693.4001365989;17.569041186795;12851.1657052498;12.714376259742;25.5210450933226;2347.9769579208;12763.1164561157;37.3200030482282;12478.2362198501;0.496362718840092;0;0.503637281159908;20.0221453516264;273.107390439062;546.030442516943;665.965881363258;570522.596819633;158.435841076081;396.753803957379;580.007192784493;695554.835648382;695554.835648382;1;0;0;306869.49593526;340267.970957721;0;0;33008;0;4782.06584795389;13552.6125719608;24.979625097224;13493.3101686778;16.0690683755093;31.4066139664204;2987.2145243235;15981.6895269797;43.856445186664;15332.9729303482;0.507526570062147;0;0.492473429937853;32.0459332096034;340.954381149977;585.37276284094;702.471743624153;695554.835648383;246.375753718074;426.900431421002;585.372746752835
2001-03-25;453125.279354901;453125.279354901;1;0;0;243966.938398243;198470.162190815;0;0;32928;0;3785.45332015935;7736.50874925829;6.45325990572649;7435.3644908712;6.28064701857512;8.92040616464795;6236.45182098649;7481.51243983936;14.9189196425781;7644.66539470453;0.449471782479162;0;0.550528217520838;49.2434104534736;236.044447946745;381.362261656209;488.243542239422;476085.228414921;152.831678502071;278.864729587646;371.861104804923;616458.226876486;616458.226876486;1;0;0;182465.279743888;386574.711009025;0;0;32960;0;4402.6265307477;13338.9906311384;23.7042879765745;14127.1681317593;12.8200771978745;26.8170936200183;2497.12336586323;13854.8340742933;41.1858164365527;13681.6969354745;0.503484582645148;0;0.496515417354852;12.3367746966316;272.169870533105;719.695535598602;853.595000334301;616458.226876488;166.405843308109;419.938581678671;815.815408714997;565007.710541688;565007.710541688;1;0;0;234568.09695274;268187.619797253;0;0;33120;0;4196.52976079705;11358.107203131;17.6138148247233;11234.0926019871;12.073199847356;22.2106680538126;2455.79353460055;12430.397057221;36.5833878116547;12112.9336824916;0.515637098500585;0;0.484362901499415;21.8937400236111;280.152085523531;562.24917990594;731.080139968164;565007.710541689;180.116566174453;408.529243363908;562.499411219797
2001-04-01;499681.64697447;499681.64697447;1;0;0;144242.664716154;166241.667116558;0;0;32960;0;3505.70397531046;6675.31211374275;5.36228800024589;6692.73403473037;3.22482696885796;7.64058520989123;5559.66947719299;6723.16396190422;10.4141382522054;6700.47994364236;0.452793794110786;0;0.547206205889214;38.239185063316;205.686507669741;401.779365629184;457.596275153926;420619.660273102;134.308520698688;262.706084088707;401.815067246078;551567.924881567;551567.924881567;1;0;0;218319.738019223;275742.269386886;0;0;33040;0;4231.33840610025;12571.5692112963;16.7522898262918;12564.5247971747;11.7246004650273;25.2911772107564;2228.50107958623;12234.5148779121;35.1426186428978;12231.1786880935;0.508858250302894;0;0.491141749697106;13.531803721569;272.652804676203;627.781581130331;854.499827662831;551567.924881566;183.179215123849;377.180628272917;642.998908538634;658061.285764223;658061.285764223;1;0;0;235954.168296966;367592.13139199;0;0;33216;0;4549.13913576952;13308.2274388613;19.3391396867711;13040.7069335905;11.8328849709121;26.6923874310072;2830.46556433999;14727.076407157;38.9340336966491;14130.680556305;0.520880021078657;0;0.479119978921343;25.3446607704457;280.045669335847;715.72945822914;971.195262555345;658061.285764224;191.217046403248;432.267173899234;725.390723686871
2001-04-08;573597.867904716;573597.867904716;1;0;0;200772.313283649;373126.845475021;0;0;49008;0;4958.69362984084;10054.528981541;12.1654341454169;10065.9590793977;7.79898781334362;16.9110475005301;8521.59351965038;9986.27819018951;24.225636218704;10147.8728857099;0.460418338717911;0;0.539581661282089;13.0094377200206;207.869422691671;504.734300825766;1021.03604554629;626655.684862072;124.240207580609;228.312649681012;989.131963306856;583848.92374195;583848.92374195;1;0;0;183012.371353604;344283.638806398;0;0;41120;0;4630.28073644206;13386.9398202727;22.781449922679;13343.6607593493;13.7554885190246;29.395848062829;2621.01594029346;12963.254505943;41.1983056970352;12836.436277687;0.517576898008816;0;0.482423101991184;7.40051283927773;162.541696452607;598.410928632564;928.518492566072;583848.923741949;162.520169505162;354.893470553035;876.022615862054;741106.258298547;741106.258298547;1;0;0;184245.287273892;512454.393276181;0;0;41344;0;5100.23105016444;14974.7967842574;25.6012153891334;14603.6497921152;17.1047939417164;35.2014024230385;3527.6274242248;16718.7814908067;46.9366177713346;15757.2823434617;0.530738461389216;0;0.469261538610784;2.67705432543179;239.553963358958;763.989816665363;1033.51916887099;741106.258298545;167.260759734245;433.174604727312;1033.51692620193
