period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-02-04;0;461709.120393912;451327.798699821;1226273.5289389;2.71703522909852;0;8.74094308681086;0.82771942323645;0;560641.158326992;560641.158326992;1305948.58316128;2.32938406994299;0;11.9286318812261;0.907506765300933;0;610215.450067043;610215.450067043;1538223.71159145;2.52078788143179;0;9.49474844051569;0.941926759973912
2001-02-11;0;352316.286996374;377355.239725243;714345.799390142;1.89303267634568;0.00490956874758725;12.7988844275765;0.745694968493838;0;600046.71340015;600046.71340015;1307779.67894193;2.17946311468223;0.028713242892338;16.4673392683573;0.943829225725101;0;638007.275933988;638007.275933988;1321486.80799426;2.07127231591477;0.0221406611591113;15.3613341128756;0.968035147420702
2001-02-18;0;302829.965757475;317866.871394729;776397.819680941;2.44252512466706;0.026364550058569;15.5372544631967;0.76976861610431;0;665535.334894565;665535.334894565;1516460.5267063;2.27855749679547;0.05;25.7332736108009;0.979451814676712;0;737082.513415462;737082.513415462;1737067.2237862;2.35667946555543;0.05;25.8013465348574;0.971587079073884
2001-02-25;0;412719.378572448;399844.619205102;1091324.38809254;2.72937119989787;0.05;20.802001065008;0.762707518912904;0;658169.518822331;658169.518822331;1308495.89499687;1.98808340036496;0.05;35.4359457306413;0.967141118846436;0;696080.149465463;696080.149465463;1486985.38194351;2.13622724780386;0.05;36.8520075664574;0.961735728487992
2001-03-04;0;450714.294206742;446621.561253447;1025694.86188557;2.29656369255204;0.05;42.8175015812385;0.766508714788497;0;605851.894644426;605851.894644426;1499646.49248734;2.47526913053145;0.05;39.927293790256;0.950013151876105;0;661283.771210959;661283.771210959;1467253.04954931;2.21879488568491;0.05;42.8317277867993;0.944781493016624
2001-03-11;0;491812.700151269;461433.581615214;1117813.44080794;2.42247960561327;0.05;58.6332197730844;0.851544648592115;0;621982.691761468;621982.691761468;1398778.6356542;2.24890282990484;0.05;38.7480614963496;0.928965282824195;0;689564.340468217;689564.340468217;1453905.84419315;2.10844116910968;0.05;42.9152602065598;0.919403801826942
2001-03-18;0;484913.343707901;503345.472651649;946690.425240013;1.88079654367963;0.05;60.1978290577493;0.868206047837205;0;592579.675724694;592579.675724694;1362437.81869287;2.29916393441384;0.05;39.9531702180034;0.901623678959577;0;677062.822290976;677062.822290976;1492772.66148715;2.20477718217647;0.05;41.1329190110738;0.900142866267973
2001-03-25;0;504014.727072558;477662.546585115;1163202.67327101;2.43519757114501;0.05;54.4396991307541;0.864642357947665;0;604410.715967604;604410.715967604;1505935.39635285;2.49157626853453;0.05;39.7587048938059;0.881885155697391;0;673386.651242919;673386.651242919;1537451.96609766;2.28316371175442;0.05;41.8143262342577;0.872665179188779
2001-04-01;0;460187.759316902;479935.426457768;981597.845254705;2.04527065755393;0.05;59.7118906360143;0.866347977454954;0;610536.680948808;610536.680948808;1324869.97117371;2.17000880129723;0.05;39.9527922649493;0.855189772768796;0;653122.10029714;653122.10029714;1387240.12260072;2.1240134455251;0.05;43.3168379673819;0.849390699969949
2001-04-08;0;615211.342688647;592244.787884851;1225368.93589567;2.06902443206291;0.05;52.6682069195771;0.985110267679064;0;720644.867332379;720644.867332379;1309256.02871803;1.81678395013694;0.05;38.7716029389011;0.937128199558225;0;768043.62154517;768043.62154517;1539421.46492312;2.00434118810344;0.05;41.390549506724;0.921066326366029
