period;income_EUR;consumption_EUR;consumptionRate_EUR;saving_EUR;savingRate_EUR;wage_EUR;dividend_EUR;governmentTransfers_EUR;budget_EUR;labourHourCapacity_EUR;retiredHouseholds_EUR;utility_EUR;utilityInput_COTTON_EUR;utilityInput_KILOWATT_EUR;utilityInput_WHEAT_EUR;utilityInput_REALESTATE_EUR;utilityInput_CLOTHING_EUR;utilityInput_LABOURHOUR_EUR;utilityInput_IRON_EUR;utilityInput_FOOD_EUR;utilityInput_COAL_EUR;incomeSource_DIVIDEND_EUR;incomeSource_TRANSFERS_EUR;incomeSource_WAGE_EUR;incomeDistribution_quantil5Percent_EUR;incomeDistribution_quantil50Percent_EUR;incomeDistribution_quantil95Percent_EUR;incomeDistribution_quantil99Percent_EUR;incomeDistribution_yTotalSum_EUR;incomeDistribution_incomeAt10PercentY_EUR;incomeDistribution_incomeAt50PercentY_EUR;incomeDistribution_incomeAt90PercentY_EUR;income_USD;consumption_USD;consumptionRate_USD;saving_USD;savingRate_USD;wage_USD;dividend_USD;governmentTransfers_USD;budget_USD;labourHourCapacity_USD;retiredHouseholds_USD;utility_USD;utilityInput_COTTON_USD;utilityInput_KILOWATT_USD;utilityInput_WHEAT_USD;utilityInput_REALESTATE_USD;utilityInput_CLOTHING_USD;utilityInput_LABOURHOUR_USD;utilityInput_IRON_USD;utilityInput_FOOD_USD;utilityInput_COAL_USD;incomeSource_DIVIDEND_USD;incomeSource_TRANSFERS_USD;incomeSource_WAGE_USD;incomeDistribution_quantil5Percent_USD;incomeDistribution_quantil50Percent_USD;incomeDistribution_quantil95Percent_USD;incomeDistribution_quantil99Percent_USD;incomeDistribution_yTotalSum_USD;incomeDistribution_incomeAt10PercentY_USD;incomeDistribution_incomeAt50PercentY_USD;incomeDistribution_incomeAt90PercentY_USD;income_YEN;consumption_YEN;consumptionRate_YEN;saving_YEN;savingRate_YEN;wage_YEN;dividend_YEN;governmentTransfers_YEN;budget_YEN;labourHourCapacity_YEN;retiredHouseholds_YEN;utility_YEN;utilityInput_COTTON_YEN;utilityInput_KILOWATT_YEN;utilityInput_WHEAT_YEN;utilityInput_REALESTATE_YEN;utilityInput_CLOTHING_YEN;utilityInput_LABOURHOUR_YEN;utilityInput_IRON_YEN;utilityInput_FOOD_YEN;utilityInput_COAL_YEN;incomeSource_DIVIDEND_YEN;incomeSource_TRANSFERS_YEN;incomeSource_WAGE_YEN;incomeDistribution_quantil5Percent_YEN;incomeDistribution_quantil50Percent_YEN;incomeDistribution_quantil95Percent_YEN;incomeDistribution_quantil99Percent_YEN;incomeDistribution_yTotalSum_YEN;incomeDistribution_incomeAt10PercentY_YEN;incomeDistribution_incomeAt50PercentY_YEN;incomeDistribution_incomeAt90PercentY_YEN
2001-02-04;591381.084144332;591381.084144332;1;0;0;266879.618926523;267745.018607953;0;0;32400;0;5447.77320621157;19388.8232294235;37.0887140201338;19581.8924198139;22.6220030343519;59.5476096668246;2269.17974881944;20015.481135595;86.0364421326712;20195.2676947741;0.484585630864804;0;0.515414369135196;82.0575646776869;275.451879381111;594.447009142403;627.331174130459;590125.749671443;209.562531384496;335.830442360343;597.810855167571;538634.77719049;538634.77719049;1;0;0;244707.35796325;253911.252471676;0;0;32464;0;5153.52846535522;17913.1553933631;15.9530144318014;17440.8168961786;9.59478457022273;26.690529559117;2029.71958451447;17991.4907805;34.4784969707345;17340.1289845997;0.478052143367625;0;0.521947856632375;52.5339993212348;267.025194322584;455.742809660908;545.567846357995;538634.77719049;194.821993659542;299.733706300201;451.316053759593;594438.753959195;594438.753959195;1;0;0;271174.252048478;281107.420685282;0;0;32400;0;5272.24256077912;18653.6925124496;16.3343727878678;17813.1592652103;10.1937392686687;22.9426924433049;2473.78213802136;18476.3676696021;27.1616031232106;18768.2668658647;0.479598133693246;0;0.520401866306754;120.84540084424;289.170686582903;535.861697367584;597.124421206939;594438.753959194;212.930737558114;345.071820744234;548.303862642404
2001-02-11;643081.340104868;643081.340104868;1;0;0;166224.304772512;442495.075788051;0;0;32464;0;4658.31944208075;17047.1294018216;76.0228056463947;18196.0541588221;56.877788357815;113.277209510231;1592.26185171095;17184.4830801266;114.474267011814;19075.0236203816;0.509172966677683;0;0.490827033322317;9.22889314906472;113.738967653388;689.405160691597;1069.21149851152;493015.349007951;98.5362499429912;499.093024702101;1069.13895248906;600342.118339281;600342.118339281;1;0;0;273909.646759362;285525.670996477;0;0;32560;0;5214.26207503405;17399.2699874981;15.9029933743358;18181.823621817;9.05659107422789;32.3752475813067;2147.01430356779;17781.4634752785;44.911269316616;18150.6360109992;0.476458217564581;0;0.523541782435419;101.357307436941;303.985858460953;503.214043486918;571.06352506329;600342.11833928;188.668659096966;348.110776590437;500.243811634685;605308.352237796;605308.352237796;1;0;0;304712.942262494;256977.484866859;0;0;32480;0;5007.41897444031;16810.749553009;15.4579069623561;17372.5384458588;10.3448627738399;30.2981415897643;2234.35170317144;16663.8616055792;46.8139262009586;17100.0189838666;0.477165754291848;0;0.522834245708152;18.2416295899999;317.865362150507;560.813557598815;609.984149684766;605308.352237796;237.803302610486;355.656047661322;560.813259285811
2001-02-18;603151.828687534;603151.828687534;1;0;0;217669.801119178;427177.527928707;0;0;32544;0;5677.9374003678;24456.1423288142;99.3340760952441;24381.6111571049;56.3532857950558;120.995430397212;1835.27292569844;24891.0648526361;158.441271614075;25683.376112259;0.538601378996709;0;0.461398621003291;5.96976369970163;231.22746524243;809.697753275734;821.178639125082;631052.638586788;208.302239792636;466.974124412195;809.6985536282;584875.040064377;584875.040064377;1;0;0;273709.743634157;270239.787166212;0;0;32592;0;4838.55245996417;15297.7577583701;40.6887127005375;16422.4619442077;11.3325781865003;54.9835670318654;2141.92567398437;16293.1188513373;82.0481955483589;15808.1945950398;0.476930166956451;0;0.523069833043549;18.465881871449;278.710364992817;534.924050993448;640.985816576458;584875.040064377;213.682823618834;397.018108246496;534.924168584432;653240.729499841;653240.729499841;1;0;0;311870.391214846;305252.361009043;0;0;32624;0;5129.82417657178;16825.2954303302;20.6818775242844;17291.6592181102;9.80145709134663;63.3294400267937;2360.55564803532;16598.7601645311;87.599221109679;17667.4279500378;0.476853187477712;0;0.523146812522288;111.23401481999;343.613580642413;582.104033637052;657.013124557928;653240.729499843;220.441924757144;370.23894591445;580.85837551831
2001-02-25;647558.4359854;647558.4359854;1;0;0;197790.859056699;393980.295240707;0;0;32576;0;5781.96571210534;25057.9481746423;89.3189823548491;24817.2567428581;59.9160665217957;121.89910056489;1554.67098663956;25277.4452880175;171.320944842208;26470.8688604653;0.563923108454625;0;0.436076891545376;12.2002600978297;254.469505863088;640.454163710923;822.408170432219;604565.259125016;207.482094903897;497.699318489228;645.98592183203;576571.790178752;576571.790178752;1;0;0;278854.844288992;259350.785865862;0;0;32688;0;4786.79936403723;14999.2463157619;38.5043172198882;15270.4959751614;29.6345456785558;53.1927466231181;2118.62194227074;15482.2766557115;71.4708119600836;14976.3515390076;0.476392925565911;0;0.523607074434089;27.0745200991517;283.197944172073;524.753219425908;607.927247179458;576571.790178751;188.542000758661;357.545612418884;524.755892441113;541797.289261646;541797.289261646;1;0;0;313890.196642159;182436.095178623;0;0;32704;0;4604.42072888521;13634.0169575633;24.523756005224;15029.516682769;17.0819201220137;30.9942338673795;1864.08805951948;14122.6516649111;39.6118989692387;13537.5089649609;0.476028402052221;0;0.523971597947779;39.3022051728178;263.641053578456;549.002128470382;615.449360226289;541797.289261646;194.879191420261;311.77740593639;606.238996147838
2001-03-04;473836.587482137;473836.587482137;1;0;0;215153.117077819;293728.053599826;0;0;32672;0;6371.95414402426;31921.6345595327;116.767929321507;30338.7495683342;79.6006911554937;186.765740524434;1679.82320399045;31580.5254696038;243.868913072239;32870.6164181508;0.581312294194462;0;0.418687705805538;10.8879729891551;264.413096884477;995.57891987877;1198.2425732353;716472.996216886;207.153009416409;543.7995943576;1198.08320709446;468246.233985724;468246.233985724;1;0;0;217248.544968564;212762.887425009;0;0;32752;0;4145.73177125313;12390.6595663084;17.7371581678234;12614.6818055701;12.404105784232;30.3943269904244;1679.35432944254;12853.7954380102;40.2671002346125;12280.396401092;0.478617174647002;0;0.521382825352998;11.1845363518401;219.061788077672;506.641644022217;605.886151962235;468246.233985724;135.485883748826;359.835671638315;511.848077509777;523478.645409702;523478.645409702;1;0;0;259436.632890186;226442.01317918;0;0;32752;0;4484.71353973791;12500.5005402929;21.3850178345474;13658.6011346727;13.4515742652817;47.1462269144349;1802.71021711994;13977.5796317803;56.3861782037641;13788.3504899998;0.477873471828916;0;0.522126528171084;20.667688490392;264.030067401241;445.541332123989;534.294152565684;523478.645409701;178.218270053934;320.127380229053;445.541332123989
2001-03-11;663526.485189047;663526.485189047;1;0;0;187813.368377793;447041.831555165;0;0;32704;0;5278.01833808556;25003.2883880391;102.887773002422;22889.9724575359;68.6790356822755;158.890233166245;1124.7126050144;24157.2771890252;210.097527579601;24457.4378018269;0.591577155153843;0;0.408422844846157;5.81844679235919;206.688316847751;709.92594756386;1037.7859748308;525225.21698736;202.426572791289;589.04978709407;1037.77591133888;502575.379571722;502575.379571722;1;0;0;227571.10326309;240150.959301173;0;0;32800;0;4223.69641715684;13263.2792834126;17.5647349599425;13680.3229298605;11.5679424184894;28.2234288922837;1822.97935703423;13971.946746418;41.5688939329475;12822.2282042275;0.479585577701083;0;0.520414422298917;12.4988001225725;252.76299125333;656.140860966472;670.590963800081;502575.379571722;177.078779165321;418.013549012035;656.588572326922;602254.835206609;602254.835206609;1;0;0;272316.63055648;293676.326171212;0;0;32928;0;4694.74138579648;14755.4847529069;26.5379110814287;15152.5917572605;14.0238802336696;45.2589650291084;2113.70268996027;15523.2124926615;54.3116424119548;15723.9145252631;0.483010261058451;0;0.516989738941549;15.0350095825969;273.290144129557;599.829708634005;707.844365149019;602254.83520661;226.293919030686;385.61069960529;599.831283907546
2001-03-18;471157.292028008;471157.292028008;1;0;0;163710.047279201;277771.645815519;0;0;32784;0;5416.62587189146;25657.3522977854;125.509216720334;24192.1080607311;63.1520608011064;177.786401205975;1040.17395694991;24685.3812578889;236.298336144238;25137.5641539461;0.598083232477777;0;0.401916767522223;5.30981066619482;206.411425111163;826.248572958746;1168.66739041271;524530.311758773;204.1791540658;437.052278608357;1168.65785016566;638796.264540759;638796.264540759;1;0;0;299053.665330315;302346.346814582;0;0;32912;0;5079.08237565831;16702.780813682;24.4864195431547;17119.2979567975;18.8751563009569;42.9822275195628;2297.42378067591;17761.5526863486;56.9980657454433;16451.7245946283;0.485613128983323;0;0.514386871016677;20.3654596159571;287.450707551879;555.551541619139;700.866442296923;638796.26454076;248.208716965687;359.789177649731;555.345074145872;489201.819349398;489201.819349398;1;0;0;176831.843852556;267858.196394192;0;0;33008;0;4118.7658847685;12127.9152803064;22.5349614388841;12197.1043441539;12.4344016268812;31.1671209038359;1719.03148415076;12665.2306495268;47.2230644767469;12864.9809370574;0.485078516697108;0;0.514921483302893;15.100794502077;242.801646173668;608.27803394046;655.471465660125;489201.819349398;172.138957299735;372.190185518635;619.487779700193
2001-03-25;458643.882644669;458643.882644669;1;0;0;180979.71559161;266545.781202103;0;0;32912;0;5695.08083109711;27554.9213748183;104.357943858906;25845.6535494882;63.7472384686552;161.566239544727;1003.83712096554;25805.8548764206;225.718240305448;26011.9769062343;0.601968901294051;0;0.398031098705949;3.05592343382889;206.542607923554;674.283541763944;920.77949979445;533860.660623224;185.435475657155;433.107038893453;830.048338580679;637491.703407927;637491.703407927;1;0;0;300120.876478064;299403.770216401;0;0;32960;0;5039.71540286389;16486.8722039443;30.2260971538283;16954.1620965878;18.0649090588831;45.1880446088324;2352.58768767687;17435.5085982003;60.2341028829512;16454.0766625598;0.48590057879107;0;0.51409942120893;22.176455375251;316.118993490519;602.636287631887;676.655764738386;637491.703407925;230.65654601892;372.336346277066;602.728273934699;525352.861262183;525352.861262183;1;0;0;251382.238536452;236592.686003443;0;0;33104;0;4396.54219573568;12986.9761314951;25.1644351039873;13022.2052009105;15.5412106324758;38.3428574784095;1872.37180422544;13622.9852312574;61.1207051680566;13604.5074573767;0.486547454886329;0;0.513452545113671;15.7634875208323;263.799986666413;579.69622621033;597.75120584466;525352.861262183;189.722483736084;338.063453697302;579.770431069232
2001-04-01;377077.256753809;377077.256753809;1;0;0;193878.871954697;220600.798695645;0;0;32960;0;5891.84806986132;29001.9088348166;99.429131101562;27167.862542059;65.0127636893815;153.592754154704;959.227488580792;27011.0499451328;211.690767874422;26592.6024528034;0.60548570916447;0;0.39451429083553;4.11644658948418;234.632218991299;565.259165775166;760.688534490388;540863.174581012;206.389720475263;428.224480643737;612.725420149597;471529.856490237;471529.856490237;1;0;0;182549.274281734;247796.668776199;0;0;33056;0;4188.58598964758;12168.6586129841;25.1428427626428;12586.0403827472;13.9207673549062;35.2213833523077;1707.21920603135;12885.5767294726;49.9028318485001;12089.1432801846;0.487524715006797;0;0.512475284993203;14.5544375684897;236.229013755241;534.639729202229;646.798601146782;471529.856490237;143.634414887067;342.056741931145;547.140302468591;446148.270015176;446148.270015176;1;0;0;136068.525064601;271802.258830121;0;0;33216;0;3943.49474633657;11034.1804500306;20.1811437744373;11113.7464810074;13.9067526850698;32.9090663851509;1571.70961114299;11526.6779501807;42.9246224647179;11622.2489070279;0.489818222115612;0;0.510181777884388;15.0818395174869;190.63735031701;554.462082270574;742.298934837994;446148.270015176;137.611845555934;305.231173200933;607.756403618204
2001-04-08;436315.644262775;436315.644262775;1;0;0;183678.269237127;303739.917982272;0;0;33008;0;5741.69050427521;29424.2835034288;108.80136309482;28103.466593442;66.8592309184607;154.056801334673;897.073580918037;27567.1002917018;213.180144496081;26828.9944948035;0.607269152606039;0;0.392730847393961;3.90951292585292;211.849808315724;676.066679518895;781.87136131156;537753.210548164;206.39819174452;481.838621987814;718.131772541686;526103.331585179;526103.331585179;1;0;0;237643.329570105;250825.644234024;0;0;33152;0;4434.98900274003;13473.193375791;30.8634667893661;13906.9397531952;18.7243429743986;45.2779675175616;1981.56937460217;14269.0709037198;58.8969384058146;13456.7972470462;0.488748518225699;0;0.511251481774301;13.709697763978;254.379137332759;563.401646744426;804.901682253641;526103.331585179;184.059280024308;334.54524984557;617.381136964676;444877.848466673;444877.848466673;1;0;0;218783.188291876;193113.978787687;0;0;33344;0;4026.73317475406;11058.2611994921;24.4141172004842;11024.2209529076;13.8136235019759;32.3828144273881;1610.11044246159;11469.3371627042;43.8461360832023;11558.8497197014;0.492324048490061;0;0.507675951509939;15.0332666164329;236.405560942105;485.909287001161;626.08393951089;444877.848466673;128.293862211135;271.074919988862;511.076960323168
