period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-02-04;0;629589.331372971;614575.04429238;1334558.93892712;2.17151501890828;0;9.18009136228451;0.995087034006592;0;553207.102443115;553207.102443115;1220897.02951804;2.20694388073874;0;11.9309539095206;0.905207875207733;0;610748.277701602;610748.277701602;1531627.5848156;2.50778862705843;0;9.4958749201372;0.934593222284058
2001-02-11;0;659630.161195953;683144.76907949;1364166.47566822;1.99689222169757;0.0402223592270164;18.4817700993016;0.971940575235247;0;589754.234292909;589754.234292909;1258516.80630801;2.13396824156239;0.0389225630367076;18.5409166385044;0.95091880890667;0;626315.531592778;626315.531592778;1394153.74002854;2.22596066950963;0.0224358686334933;15.4078141110377;0.966574783986163
2001-02-18;0;692941.993885843;664963.476844012;1443015.25127637;2.17006693078103;0.0389161762187984;18.5405159617384;0.930124618194165;0;563827.877603098;563827.877603098;1271801.2388937;2.2556551199637;0.05;26.0471320994782;0.9751363640802;0;535746.638463216;535746.638463216;1445065.69425779;2.6972930682364;0.05;26.3026543297497;0.968418112072487
2001-02-25;0;707245.158028666;728713.964582247;1367407.344326;1.87646650234006;0.0337868872538953;17.5672104571544;0.883551111831735;0;514871.998611307;514871.998611307;1383508.25275175;2.68709165867107;0.05;28.5291862114802;0.970920633240843;0;577426.508471123;577426.508471123;1355907.41291937;2.34819045026087;0.05;32.726920803341;0.957822699207861
2001-03-04;0;731824.586025006;671554.029555988;1545550.00999465;2.30145296130011;0.0267806029074708;16.295566808216;0.837814500779794;0;525080.758354275;525080.758354275;1181054.00213085;2.24928067414343;0.05;32.893694773379;0.960703586367637;0;560072.073914742;560072.073914742;1319011.40428156;2.35507440151774;0.05;33.2893208323354;0.946374010835052
2001-03-11;0;643913.166877273;639740.984503704;1127925.66715003;1.76309740109124;0.0200163664396651;15.1845445356017;0.77414054270798;0;519173.977443703;519173.977443703;1189984.70170026;2.29207308802241;0.05;34.0278028949221;0.945546919904732;0;492084.158539668;492084.158539668;1322247.13592278;2.68703455085151;0.05;34.0390523142528;0.940497213518416
2001-03-18;0;569560.249017484;524672.328004152;1155777.71682934;2.20285624977766;0.0156356576146534;14.5360475226585;0.718790459545784;0;546335.589488243;546335.589488243;1500287.3138807;2.74609112557729;0.05;32.7873411951348;0.928165614944535;0;547174.292419484;547174.292419484;1318777.42239143;2.41015968889928;0.05;33.2204906270991;0.912451178187236
2001-03-25;0;503691.041288326;507678.819290774;1264657.89890907;2.49105901379891;0.0160888876810407;14.4253180644442;0.66632044608168;0;565769.301197358;565769.301197358;1636473.67632037;2.89247520651446;0.05;32.7154194083265;0.918993463392619;0;509737.475708987;509737.475708987;1419823.98096703;2.78540238579126;0.05;32.5628442092501;0.901428450997469
2001-04-01;0;499632.134796395;468627.52726096;1064352.2801916;2.27121160895635;0.0149618371647315;14.4320903893904;0.644064856229006;0;545296.624174572;545296.624174572;1134762.25377297;2.08099996124254;0.05;31.2852793210786;0.893745101111565;0;516417.158317452;516417.158317452;1060687.85433538;2.05393611976649;0.05;33.3295696191538;0.889870406055231
2001-04-08;0;548704.414393811;490105.291638283;1175188.78007686;2.39782920145288;0.012156988763299;14.0463821427583;0.634531487010088;0;499680.302233379;499680.302233379;1406447.80427895;2.81469531216794;0.05;31.0795407082304;0.884711327105713;0;498295.52924975;498295.52924975;1188131.34655858;2.38439094235396;0.05;32.5814421740928;0.877013908977932
2001-04-15;0;549518.289837632;504163.481995374;1414670.48599936;2.80597571327536;0.0084844345908319;13.5936466079451;0.637515344077068;0;483051.754100698;483051.754100698;1305546.31220458;2.70270483674182;0.05;30.5612947314127;0.875853230403616;0;420708.251882751;420708.251882751;1208740.00627118;2.87310743457451;0.05;31.069818813488;0.868585510208637
2001-04-22;0;560192.15675446;583311.177236954;1257032.12365361;2.15499406270244;0.0046107811350129;13.1304685611604;0.610724868103407;0;476375.758370491;476375.758370491;1294876.34874731;2.71818270765207;0.05;30.7900167960466;0.874711506353423;0;440219.472901849;440219.472901849;1025138.91248777;2.32869960460911;0.05;31.3133652323261;0.854878551291216
2001-04-29;0;552630.02652955;559096.512078143;1295085.28121642;2.31638948417444;0.00125396799089037;12.7561556049088;0.594711019735141;0;476439.903902481;476439.903902481;1358159.62891644;2.85064205955854;0.05;29.5796477173177;0.863884674587422;0;428272.942672809;428272.942672809;1260008.21228809;2.94206821571428;0.05;29.6430760130713;0.843279073247241
2001-05-06;0;513486.158379652;558757.368956817;1312137.18342874;2.34831298221348;0;12.4949937737544;0.573494702178543;0;427037.036049621;427037.036049621;1250373.09718356;2.92802026903885;0.05;30.1555872904296;0.846456840424594;0;413497.954990047;413497.954990047;1252470.02984986;3.02896305709664;0.05;30.1706032754948;0.834967607906227
2001-05-13;0;524917.454115327;545676.682487465;1211751.00479195;2.22063915076633;0;12.2329432801373;0.554236910486796;0;423363.380780963;423363.380780963;1231630.41157918;2.90915669018714;0.05;30.9419636562829;0.84573627917478;0;395646.628959747;395646.628959747;1245913.75387532;3.14905691766194;0.05;30.737054760101;0.815159562352381
2001-05-20;0;561387.810820754;527015.136990225;1027921.75861798;1.95045964806329;0;11.9489552858661;0.536153188365529;0;392123.031693231;392123.031693231;1077745.54463502;2.74848824865297;0.05;31.6089145755252;0.82197385570428;0;350279.345239334;350279.345239334;970418.828447123;2.77041407561176;0.05;31.678133189761;0.809737193419731
2001-05-27;0;546473.750571807;572411.547816871;1352782.14432192;2.36330337758089;0;11.7477677334671;0.517817911274403;0;413772.87241249;413772.87241249;1394235.08846816;3.3695662075165;0.05;31.6973718351342;0.812268171116237;0;369497.539751017;369497.539751017;1010152.37902201;2.73385414068708;0.05;32.195110335985;0.805122706505484
2001-06-03;0;485511.965986703;530337.844438569;1162119.32222469;2.19128115108388;0;11.6518600180475;0.521275897811284;0;421088.681474811;421088.681474811;1076678.89787257;2.55689346505737;0.05;32.9967277907329;0.802125226050126;0;344149.798252459;344149.798252459;1052485.98002717;3.05822053469603;0.05;32.3137510026316;0.786136990839064
2001-06-10;0;514019.828866018;527722.860554064;1185474.95868236;2.24639682548093;0;11.6558815989479;0.548984604794398;0;483204.271664548;483204.271664548;1382539.81866159;2.861191218155;0.05;33.4400854494111;0.789533285420244;0;338746.577247712;338746.577247712;1306437.58995044;3.85668130011863;0.05;32.361194204108;0.765439182742517
2001-06-17;0;572005.58775307;514230.786160175;1184412.29235294;2.3032699018219;0;11.8408018316314;0.566737817336626;0;483212.748552745;483212.748552745;1179996.11666948;2.44198051521539;0.05;34.1207644002253;0.784788490478353;0;345568.88879871;345568.88879871;995251.817643679;2.88003882844732;0.05;32.5515094204933;0.76328752005979
2001-06-24;0;573492.221698701;542671.801478636;1164654.66337964;2.14614921985308;0;12.1786283091722;0.60479220062514;0;484653.093320313;484653.093320313;1289814.1646063;2.66131421089239;0.05;33.5812312437468;0.767715697640893;0;327038.624663825;327038.624663825;979786.677631905;2.99593565940129;0.05;33.2705365307643;0.746228221902438
2001-07-01;0;478813.647585956;476807.036813582;1053970.88195784;2.21047677693967;0;12.3638190805164;0.605167747026517;0;474553.659483907;474553.659483907;1215887.9226584;2.56217162876949;0.05;32.8398252290785;0.744610162760702;0;504742.612646179;504742.612646179;1469477.89539322;2.91134106488314;0.05;33.9110100733945;0.75981894931382
2001-07-08;0;460180.199833403;445899.571800876;982426.48347127;2.20324607961272;0;12.3998925560948;0.597425936158002;0;481780.666460202;481780.666460202;1091950.87026991;2.266489600533;0.05;32.9556323279705;0.716541576019373;0;494968.579834529;494968.579834529;1019123.56257076;2.05896617298711;0.05;35.0097346722493;0.73881733367126
2001-07-15;0;433789.4560231;456097.404798878;1109527.55227271;2.43265482460258;0;12.5024075965428;0.578703177794256;0;453870.618327061;453870.618327061;1133453.37156569;2.49730501556486;0.05;32.5567481672602;0.711339244858595;0;521256.646615662;521256.646615662;1034927.92565421;1.98544792162102;0.05;35.08500253955;0.707289145446548
2001-07-22;0;474346.565514738;416088.478844725;1079215.63776409;2.59371670362167;0;12.5647040646607;0.564074051809951;0;433637.449416227;433637.449416227;1007278.54731737;2.32285875833232;0.05;32.5758538679254;0.699101803627569;0;470095.367403856;470095.367403856;1009767.20391505;2.14800500905079;0.05;35.1002791005348;0.699586226413208
2001-07-29;0;471966.303661131;436543.2776673;1019519.4002832;2.33543717757166;0.000547251719578128;12.6933210139262;0.543303339617957;0;413387.544946497;413387.544946497;1338387.36180998;3.2376093043229;0.05;32.7589149108138;0.688236054749249;0;507501.295037162;507501.295037162;1108056.54119875;2.18335707127133;0.05;34.2042289127848;0.689503339013039
2001-08-05;0;416080.816245822;399707.482314896;924183.657464844;2.31215000558022;0.000752226893568724;12.7241405881096;0.471266983422787;0;426585.340998992;426585.340998992;949890.910607124;2.22673125237411;0.05;32.9118126689832;0.639194641465567;0;469662.830366446;469662.830366446;1300049.80682574;2.76804916797738;0.05;33.0401617843746;0.688050595346685
2001-08-12;0;450488.447710486;395534.258275773;1097662.87936214;2.77513984287255;0.00167484169549396;12.8113028893341;0.49520606519228;0;487433.184789697;487433.184789697;1145107.54148662;2.34926052886752;0.05;32.4525592159161;0.663626710566318;0;468632.073838825;468632.073838825;1081708.68417791;2.30822588671115;0.05;31.9643862815598;0.657040264574991
2001-08-19;0;404670.995258813;422778.290589345;1181623.3915974;2.79490082130339;0.00221681336361557;12.8911356596424;0.516043906719288;0;435791.186994399;435791.186994399;1306820.79201628;2.99873157378256;0.05;31.8415847358867;0.683351714135402;0;457205.00331912;457205.00331912;1290248.51151837;2.822034978077;0.05;30.9145918327578;0.650970403875781
2001-08-26;0;427426.823687677;390307.103350719;952100.614110031;2.43936276315858;0.0030243098742657;12.9649906622163;0.498862603750387;0;436196.325459532;436196.325459532;1040344.89261481;2.38503818554366;0.05;31.1515518407648;0.648902321609462;0;481729.872057891;481729.872057891;988460.115111872;2.05189707436928;0.05;30.1174849191494;0.612108522467677
2001-09-02;0;420191.34103976;442107.624717717;1226157.86542813;2.77343750000019;0.00385482658621259;13.065297440826;0.519434855528953;0;429342.803878683;429342.803878683;1085237.23534564;2.52767072265241;0.05;30.447303450345;0.617351014056097;0;420322.609732174;420322.609732174;1291730.21247212;3.07318755299697;0.05;29.390641135772;0.583209750495775
2001-09-09;0;432582.770541942;447855.660974952;1107751.37871651;2.47345623879133;0.004839108744567;13.1979876760909;0.525186453091748;0;453758.675105196;453758.675105196;1122592.57974385;2.47398593422726;0.05;29.6426633118649;0.620387221069299;0;411454.970067775;411454.970067775;897932.287313092;2.18233428354307;0.05;28.8901422177056;0.56653661660794
2001-09-16;0;462605.331760754;430021.875582211;1014169.65588574;2.35841410280034;0.00580990624233337;13.3188530049535;0.516627091895193;0;423975.838716225;423975.838716225;1156267.79373644;2.72720209066053;0.05;28.8995092494517;0.612959064732706;0;433015.482518772;433015.482518772;978551.376763433;2.25985309132916;0.05;28.6081866792865;0.576008300148389
2001-09-23;0;471980.860364993;440524.23964985;900227.975203703;2.04353789003586;0.0068544926443889;13.4443828339344;0.483800100238622;0;394343.03782256;394343.03782256;689747.456473154;1.74910519602863;0.05;28.2125535392528;0.556851004904606;0;384338.762688551;384338.762688551;885759.907201508;2.3046332901875;0.05;28.8292648276218;0.532614015956524
2001-09-30;0;392349.822295946;464533.20735338;1271429.231666;2.73700396772452;0.00699721450284443;13.4773330476247;0.479591149176882;0;378200.744887447;378200.744887447;1216289.40715722;3.21598892545594;0.05;27.763386472994;0.531468573703838;0;379081.565868785;379081.565868785;1208677.66097801;3.18843692176892;0.05;29.1608695189937;0.50452118565151
2001-10-07;0;309581.050142393;303482.583279589;750471.91355327;2.47286650009132;0.00736074255762084;13.5178363543144;0.326898148869145;0;456084.68443832;456084.68443832;936404.996556134;2.05313843789633;0.05;27.3660956217081;0.548412387057599;0;416054.574830842;416054.574830842;941604.816185125;2.26317621088041;0.05;29.4712872724854;0.571280609768592
2001-10-14;0;293066.153637526;299997.001102571;683222.330790059;2.27743053523545;0.00785070895619925;13.5766506765717;0.324790741888634;0;460846.072936629;460846.072936629;1091613.22225752;2.36871547000819;0.05;26.6433627032165;0.590064552311821;0;475032.483625072;475032.483625072;1270519.17776195;2.6745943099856;0.05;28.5591523401067;0.652631646524435
2001-10-21;0;266560.604148366;283056.500651768;722801.627937046;2.55355954119661;0.00730292215886429;13.551996524253;0.321490846067309;0;566836.404405037;566836.404405037;1331075.54335267;2.34825345198107;0.05;26.0374354658996;0.543460168335936;0;562183.191851919;562183.191851919;1201430.80079716;2.13708061395336;0.05;27.4477692632942;0.710038590378672
2001-10-28;0;256199.212846853;256559.625673948;537994.162022242;2.09695567106088;0.00597393942385563;13.3967671415606;0.297079559896658;0;562060.115673676;562060.115673676;1188632.99647604;2.11477911940321;0.05;25.4616769005795;0.538382913678541;0;583712.4050295;583712.4050295;1242636.50394256;2.12885060045924;0.05;26.5553274520212;0.616927961469712
