period;num_TraderImpl_EUR;num_CreditBankImpl_EUR;num_HouseholdImpl_EUR;num_CentralBankImpl_EUR;num_FactoryImpl_EUR;num_StateImpl_EUR;retiredHouseholds_EUR;num_TraderImpl_USD;num_CreditBankImpl_USD;num_HouseholdImpl_USD;num_CentralBankImpl_USD;num_FactoryImpl_USD;num_StateImpl_USD;retiredHouseholds_USD;num_TraderImpl_YEN;num_CreditBankImpl_YEN;num_HouseholdImpl_YEN;num_CentralBankImpl_YEN;num_FactoryImpl_YEN;num_StateImpl_YEN;retiredHouseholds_YEN
2001-02-04;10;5;2025;1;83;1;0;10;5;2030;1;83;1;0;10;5;2026;1;83;1;0
2001-02-11;10;5;2029;1;83;1;0;10;5;2035;1;83;1;0;10;5;2031;1;83;1;0
2001-02-18;10;5;2034;1;83;1;0;10;5;2037;1;83;1;0;10;5;2040;1;83;1;0
2001-02-25;10;5;2040;1;83;1;0;10;5;2043;1;83;1;0;10;5;2044;1;83;1;0
2001-03-04;10;5;2042;1;83;1;0;10;5;2047;1;83;1;0;10;5;2049;1;83;1;0
2001-03-11;10;5;2044;1;83;1;0;10;5;2051;1;83;1;0;10;5;2059;1;83;1;0
2001-03-18;10;5;2049;1;83;1;0;10;5;2059;1;83;1;0;10;5;2064;1;83;1;0
2001-03-25;10;5;2059;1;83;1;0;10;5;2060;1;83;1;0;10;5;2071;1;83;1;0
2001-04-01;10;5;2060;1;83;1;0;10;5;2067;1;83;1;0;10;5;2078;1;83;1;0
2001-04-08;10;5;2565;1;83;1;0;10;5;2073;1;83;1;0;10;5;2085;1;83;1;0
2001-04-15;10;5;2571;1;83;1;0;10;5;2078;1;83;1;0;10;5;2091;1;83;1;0
2001-04-22;10;5;2575;1;83;1;0;10;5;2084;1;83;1;0;10;5;2095;1;83;1;0
2001-04-29;10;5;2579;1;83;1;0;10;5;2092;1;83;1;0;10;5;2098;1;83;1;0
2001-05-06;10;5;2581;1;83;1;0;10;5;2099;1;83;1;0;10;5;2101;1;83;1;0
2001-05-13;10;5;2584;1;83;1;0;10;5;2106;1;83;1;0;10;5;2106;1;83;1;0
2001-05-20;10;5;2589;1;83;1;0;10;5;2114;1;83;1;0;10;5;2110;1;83;1;0
2001-05-27;10;5;2591;1;83;1;0;10;5;2118;1;83;1;0;10;5;2114;1;83;1;0
2001-06-03;10;5;2594;1;83;1;0;10;5;2121;1;83;1;0;10;5;2124;1;83;1;0
2001-06-10;10;5;2601;1;83;1;0;10;5;2128;1;83;1;0;10;5;2131;1;83;1;0
2001-06-17;10;5;2606;1;83;1;0;10;5;2132;1;83;1;0;10;5;2133;1;83;1;0
2001-06-24;10;5;2615;1;83;1;0;10;5;2135;1;83;1;0;10;5;2135;1;83;1;0
2001-07-01;10;5;1177;1;83;1;0;10;5;958;1;83;1;0;10;5;958;1;83;1;0
2001-07-08;10;5;1164;1;83;1;0;10;5;946;1;83;1;0;10;5;953;1;83;1;0
2001-07-15;10;5;1162;1;83;1;0;10;5;940;1;83;1;0;10;5;952;1;83;1;0
2001-07-22;10;5;1163;1;83;1;0;10;5;937;1;83;1;0;10;5;948;1;83;1;0
2001-07-29;10;5;1162;1;83;1;0;10;5;935;1;83;1;0;10;5;945;1;83;1;0
2001-08-05;10;5;1164;1;83;1;0;10;5;934;1;83;1;0;10;5;942;1;83;1;0
2001-08-12;10;5;1166;1;83;1;0;10;5;933;1;83;1;0;10;5;941;1;83;1;0
2001-08-19;10;5;1165;1;83;1;0;10;5;934;1;83;1;0;10;5;941;1;83;1;0
2001-08-26;10;5;1165;1;83;1;0;10;5;934;1;83;1;0;10;5;939;1;83;1;0
2001-09-02;10;5;1167;1;83;1;0;10;5;934;1;83;1;0;10;5;941;1;83;1;0
2001-09-09;10;5;1167;1;83;1;0;10;5;934;1;83;1;0;10;5;939;1;83;1;0
2001-09-16;10;5;1166;1;83;1;0;10;5;936;1;83;1;0;10;5;939;1;83;1;0
2001-09-23;10;5;1165;1;83;1;0;10;5;934;1;83;1;0;10;5;939;1;83;1;0
2001-09-30;10;5;1165;1;83;1;0;10;5;934;1;83;1;0;10;5;938;1;83;1;0
2001-10-07;10;5;1162;1;83;1;0;10;5;934;1;83;1;0;10;5;938;1;83;1;0
2001-10-14;10;5;1165;1;83;1;0;10;5;935;1;83;1;0;10;5;940;1;83;1;0
2001-10-21;10;5;1397;1;83;1;0;10;5;935;1;83;1;0;10;5;940;1;83;1;0
2001-10-28;10;5;1398;1;83;1;0;10;5;937;1;83;1;0;10;5;941;1;83;1;0
2001-11-04;10;5;1397;1;83;1;0;10;5;939;1;83;1;0;10;5;942;1;83;1;0
2001-11-11;10;5;1395;1;83;1;0;10;5;939;1;83;1;0;10;5;945;1;83;1;0
2001-11-18;10;5;1395;1;83;1;0;10;5;940;1;83;1;0;10;5;947;1;83;1;0
2001-11-25;10;5;1396;1;83;1;0;10;5;941;1;83;1;0;10;5;949;1;83;1;0
2001-12-02;10;5;1401;1;83;1;0;10;5;941;1;83;1;0;10;5;951;1;83;1;0
2001-12-09;10;5;1788;1;83;1;0;10;5;940;1;83;1;0;10;5;953;1;83;1;0
2001-12-16;10;5;1788;1;83;1;0;10;5;940;1;83;1;0;10;5;956;1;83;1;0
2001-12-23;10;5;1786;1;83;1;0;10;5;939;1;83;1;0;10;5;958;1;83;1;0
2001-12-30;10;5;1786;1;83;1;0;10;5;941;1;83;1;0;10;5;957;1;83;1;0
2002-01-06;10;5;1786;1;83;1;0;10;5;943;1;83;1;0;10;5;957;1;83;1;0
2002-01-13;10;5;1787;1;83;1;0;10;5;944;1;83;1;0;10;5;959;1;83;1;0
2002-01-20;10;5;1789;1;83;1;0;10;5;943;1;83;1;0;10;5;961;1;83;1;0
2002-01-27;10;5;1789;1;83;1;0;10;5;943;1;83;1;0;10;5;961;1;83;1;0
2002-02-03;10;5;1793;1;83;1;0;10;5;944;1;83;1;0;10;5;961;1;83;1;0
2002-02-10;10;5;1793;1;83;1;0;10;5;944;1;83;1;0;10;5;962;1;83;1;0
2002-02-17;10;5;1789;1;83;1;0;10;5;945;1;83;1;0;10;5;963;1;83;1;0
2002-02-24;10;5;1791;1;83;1;0;10;5;945;1;83;1;0;10;5;967;1;83;1;0
2002-03-03;10;5;1790;1;83;1;0;10;5;948;1;83;1;0;10;5;967;1;83;1;0
2002-03-10;10;5;1786;1;83;1;0;10;5;949;1;83;1;0;10;5;968;1;83;1;0
2002-03-17;10;5;1781;1;83;1;0;10;5;948;1;83;1;0;10;5;968;1;83;1;0
2002-03-24;10;5;1775;1;83;1;0;10;5;952;1;83;1;0;10;5;965;1;83;1;0
2002-03-31;10;5;1770;1;83;1;0;10;5;954;1;83;1;0;10;5;964;1;83;1;0
2002-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002-04-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
