period;income_EUR;consumption_EUR;consumptionRate_EUR;saving_EUR;savingRate_EUR;wage_EUR;dividend_EUR;governmentTransfers_EUR;budget_EUR;labourHourCapacity_EUR;retiredHouseholds_EUR;utility_EUR;utilityInput_COTTON_EUR;utilityInput_KILOWATT_EUR;utilityInput_WHEAT_EUR;utilityInput_REALESTATE_EUR;utilityInput_CLOTHING_EUR;utilityInput_LABOURHOUR_EUR;utilityInput_IRON_EUR;utilityInput_FOOD_EUR;utilityInput_COAL_EUR;incomeSource_DIVIDEND_EUR;incomeSource_TRANSFERS_EUR;incomeSource_WAGE_EUR;incomeDistribution_quantil5Percent_EUR;incomeDistribution_quantil50Percent_EUR;incomeDistribution_quantil95Percent_EUR;incomeDistribution_quantil99Percent_EUR;incomeDistribution_yTotalSum_EUR;incomeDistribution_incomeAt10PercentY_EUR;incomeDistribution_incomeAt50PercentY_EUR;incomeDistribution_incomeAt90PercentY_EUR;income_USD;consumption_USD;consumptionRate_USD;saving_USD;savingRate_USD;wage_USD;dividend_USD;governmentTransfers_USD;budget_USD;labourHourCapacity_USD;retiredHouseholds_USD;utility_USD;utilityInput_COTTON_USD;utilityInput_KILOWATT_USD;utilityInput_WHEAT_USD;utilityInput_REALESTATE_USD;utilityInput_CLOTHING_USD;utilityInput_LABOURHOUR_USD;utilityInput_IRON_USD;utilityInput_FOOD_USD;utilityInput_COAL_USD;incomeSource_DIVIDEND_USD;incomeSource_TRANSFERS_USD;incomeSource_WAGE_USD;incomeDistribution_quantil5Percent_USD;incomeDistribution_quantil50Percent_USD;incomeDistribution_quantil95Percent_USD;incomeDistribution_quantil99Percent_USD;incomeDistribution_yTotalSum_USD;incomeDistribution_incomeAt10PercentY_USD;incomeDistribution_incomeAt50PercentY_USD;incomeDistribution_incomeAt90PercentY_USD;income_YEN;consumption_YEN;consumptionRate_YEN;saving_YEN;savingRate_YEN;wage_YEN;dividend_YEN;governmentTransfers_YEN;budget_YEN;labourHourCapacity_YEN;retiredHouseholds_YEN;utility_YEN;utilityInput_COTTON_YEN;utilityInput_KILOWATT_YEN;utilityInput_WHEAT_YEN;utilityInput_REALESTATE_YEN;utilityInput_CLOTHING_YEN;utilityInput_LABOURHOUR_YEN;utilityInput_IRON_YEN;utilityInput_FOOD_YEN;utilityInput_COAL_YEN;incomeSource_DIVIDEND_YEN;incomeSource_TRANSFERS_YEN;incomeSource_WAGE_YEN;incomeDistribution_quantil5Percent_YEN;incomeDistribution_quantil50Percent_YEN;incomeDistribution_quantil95Percent_YEN;incomeDistribution_quantil99Percent_YEN;incomeDistribution_yTotalSum_YEN;incomeDistribution_incomeAt10PercentY_YEN;incomeDistribution_incomeAt50PercentY_YEN;incomeDistribution_incomeAt90PercentY_YEN
2001-02-04;503421.620550853;503421.620550853;1;0;0;207597.070408947;232302.133539462;0;0;32400;0;4946.85818564285;17375.090879792;7.81061802077115;18633.8461173459;4.50489016485816;12.716817973164;2618.92147687212;15522.4048072513;19.452230760897;17085.1571256075;0.486857568187625;0;0.513142431812375;80.0506408620868;240.469895119635;506.055449713095;609.850819897141;536543.637227834;166.748025257826;325.872520912565;506.88483322735;542214.702438068;542214.702438068;1;0;0;237655.139143447;264916.078269772;0;0;32448;0;5170.78836075376;18033.7341609914;14.888725666377;17550.1808863083;10.4556766910064;22.6891449434588;2052.47910045481;18020.0142815081;34.9647476620316;17463.7372267421;0.47845976230714;0;0.52154023769286;75.003835779511;273.776084471321;474.792723584558;544.713452153692;542214.702438067;196.043297546951;302.585081294707;474.792723468126;601524.33076245;601524.33076245;1;0;0;271166.001737174;288207.21395972;0;0;32416;0;5287.09441437223;18359.8827588784;13.7533759946689;18018.1663060559;10.2156514321249;24.1642929261458;2512.53074186741;18759.0698422947;31.2298866668872;19112.9098713893;0.47982628414098;0;0.52017371585902;111.807299812375;295.73994765856;592.309795125684;603.768544154494;601524.33076245;217.357689027414;342.957946215781;592.32938878026
2001-02-11;381127.602311703;381127.602311703;1;0;0;213419.013928148;43630.6602063908;0;0;32464;0;3269.05777477666;7025.20720062353;2.86218701873221;7519.55827532506;2.28101668032173;4.19457818157958;7233.70196306631;7668.39913660965;3.3396834236661;7301.48787948452;0.449150376244935;0;0.550849623755065;28.8528504306542;245.279164653528;331.959118134284;407.961563824974;419946.361652814;218.168170704309;250.368433277899;329.198665748829;617441.145817515;617441.145817515;1;0;0;310751.34472659;267181.47447283;0;0;32560;0;5298.8827172051;18201.7253617037;15.4747578729446;18411.7506696873;10.5309269510364;32.9009377312656;2176.75765766826;18495.8253900079;46.2358596947317;18362.1346898531;0.476123002251833;0;0.523876997748168;121.386596654223;311.60855191687;502.540241966816;588.81462283868;617441.145817515;231.315104068976;355.431689198298;499.845100872755;663228.373798224;663228.373798224;1;0;0;290297.722546348;330611.385616916;0;0;32464;0;5305.32601372633;18878.0141793038;17.7738727977997;17878.583452264;10.9081920056076;29.3924176253052;2486.27907766313;18344.9936082824;43.5128970556578;18618.6364638215;0.478536845483444;0;0.521463154516556;111.395353157701;334.179437157398;532.987663373724;588.199316990554;663228.373798223;234.598913648277;386.113170019364;532.97941553752
2001-02-18;314370.625005929;314370.625005929;1;0;0;145718.71196426;127091.05951162;0;0;32544;0;2899.14143175642;5474.56757570907;2.22785790503015;5402.87174546519;1.56775382580278;2.83255066091432;2724.66089462232;5446.59967514091;5.49449098534141;5078.7889992821;0.441224002332424;0;0.558775997667576;16.3571235910521;98.6757681542413;332.041503290867;359.031966845141;285721.409169276;73.7920810447535;230.56748645353;354.414765947661;697719.975984132;697719.975984132;1;0;0;368733.156938239;282546.111612804;0;0;32576;0;5273.62711414301;18640.9586298634;20.123469131766;17685.0593674486;11.070037434799;34.2238285934585;2476.08668873122;18976.0315794286;56.7393531471833;18129.7965221104;0.474880684048453;0;0.525119315951547;30.7460935008668;369.195601522098;525.77337803295;604.715395100777;697719.975984131;259.614219608808;399.522247898807;524.373936674879;738103.807692784;738103.807692784;1;0;0;332696.576584555;350324.393990305;0;0;32608;0;5246.08560779373;17729.5690997965;17.4827759920737;18140.8342819114;9.75488997691434;34.9948488162688;2877.67453522458;17593.366763755;50.8126509575271;18206.5362029021;0.478185610775608;0;0.521814389224392;88.5069279560444;356.573625568534;650.478977202269;816.799567653944;738103.807692783;236.817336264617;431.2985934229;650.580236679887
2001-02-25;387400.699136421;387400.699136421;1;0;0;167126.19911565;177328.294944684;0;0;32592;0;3297.74064537059;6697.06278875411;1.52075624283246;6191.46963406571;3.46944695195361E-18;1.93362783287728;3986.0099417717;6571.30482656984;6.27009767629966;6904.66808536242;0.441644940877935;0;0.558355059122065;17.5476866012102;177.904384323845;372.433275544392;393.445839116233;359468.632506823;102.979385947985;248.89668322382;374.256167905642;602449.494205551;602449.494205551;1;0;0;224605.695705454;324722.490841026;0;0;32688;0;4654.8338180252;14164.545326028;21.6626653183141;14799.762836351;14.1073541359968;26.8330142332619;2243.17857527875;14476.146656025;38.0046892641619;14164.8470258807;0.479583037910176;0;0.520416962089824;22.650054751545;272.406699182086;532.826295609239;689.432611558333;602449.494205551;179.106723837323;386.44826473868;532.826791640036;631096.708315713;631096.708315713;1;0;0;238730.193641405;337066.428351951;0;0;32704;0;4633.38379273619;13761.3331974868;19.1574431899234;14733.8025602201;12.4231807687578;29.2487850870703;2567.71259617869;13137.7104103537;37.9485685791606;13775.6354408577;0.484796228752586;0;0.515203771247414;47.2301896846474;277.93261076874;626.788159520584;637.265077921381;631096.708315712;224.351720050627;390.037392898696;626.872522289883
2001-03-04;546961.897571827;546961.897571827;1;0;0;210601.174453686;175814.018784153;0;0;32672;0;3847.37208948294;7608.96053207782;2.59270860431972;7624.58507854497;9.23297861778573E-128;3.76816514418438;7054.76859359556;7755.44363410674;9.85439092040146;7631.64286499931;0.447631850591734;0;0.552368149408266;96.4258294333206;259.834465096861;396.250635237929;408.477890417179;504000.805303768;152.617307118359;297.653797034955;395.940743876612;635371.190824235;635371.190824235;1;0;0;260178.393278274;333180.970633065;0;0;32752;0;4706.45586649502;14393.4533881801;19.2627874280762;14534.4714676862;13.6798918338556;30.5848228869995;2465.08101909894;14681.7040821613;37.6177571779546;14250.8930844801;0.484731693743726;0;0.515268306256275;29.8220888296061;310.443118789443;564.341505772973;605.451163388556;635371.190824235;242.140999817225;382.076135618004;564.341505761064;647534.382286574;647534.382286574;1;0;0;316812.134738789;275935.945299188;0;0;32752;0;4580.93741515644;13055.2108441683;18.4645225717543;14103.4371380638;13.6258404436532;26.4301810221736;2743.20030947667;14166.6861024005;39.1035555174976;13443.5865406182;0.491908871262193;0;0.508091128737807;27.1517642287392;321.368164966396;541.668830251693;636.438360874312;647534.382286573;222.869582725823;420.003062750719;541.157748221865
2001-03-11;494229.510951723;494229.510951723;1;0;0;221729.257516836;175936.502728587;0;0;32704;0;3817.51699889764;7388.24427731772;8.56590373329607;7747.72559505388;2.4571032598866E-237;12.5242251095106;7507.98051452132;7329.97625258061;23.3844613898316;7685.33137626741;0.446885792857621;0;0.553114207142379;58.4175978591363;232.908583191386;478.413438564056;658.42189412932;534959.182967019;193.726524521585;303.490060532259;513.053126843033;573968.635503018;573968.635503018;1;0;0;241580.363981327;277296.886432951;0;0;32800;0;4354.15628986424;13001.0345105983;19.3848187240361;12926.9757400697;10.7998931406515;25.3037473149774;2288.26222901885;13273.3793175623;37.6972272374298;12555.955198647;0.490642053533183;0;0.509357946466817;19.1796520855439;275.645019872304;522.855043289059;655.716966260405;573968.635503018;169.390710383632;386.727359120138;544.811017854894;612153.373868968;612153.373868968;1;0;0;231086.58504079;323688.658708182;0;0;32928;0;4331.33995955476;12763.7779663686;19.4210507994515;12952.5901732977;12.7869591748115;21.2558836728487;2661.73410777996;12857.9707219254;40.0440470163606;12458.7994118439;0.500282261673185;0;0.499717738326815;31.1667652458371;279.546016125262;663.215656818202;867.367288687855;612153.37386897;186.57432456416;427.453117633653;721.148542794388
2001-03-18;458676.169949554;458676.169949554;1;0;0;187085.006708466;167029.175123424;0;0;32784;0;3583.68770755507;6983.84419356661;5.02703589239473;7015.86186657498;0;7.35348897370909;6304.17277813811;7234.7283103113;9.70770832422447;6515.13423949879;0.449965638381684;0;0.550034361618316;43.1853120955104;226.979064441515;468.377480207598;566.517189045559;473995.273934941;150.339939667566;290.266522386414;486.568203639853;601529.686730868;601529.686730868;1;0;0;249399.556721682;301244.119115263;0;0;32912;0;4379.47079162615;13427.4439702363;20.2623310006029;13287.1387746074;15.8843125724859;28.1241497564665;2426.9441166876;14232.1037844361;39.6266746992828;13045.7324724076;0.495568768025064;0;0.504431231974936;18.5088379609811;274.788057839902;703.359523517242;957.332491470638;601529.686730869;205.493735737835;420.812341004091;818.931334142177;656366.578901599;656366.578901599;1;0;0;225175.364871822;368517.195939496;0;0;33008;0;4508.34570475115;13235.1818065599;16.5005404780529;14338.0720672026;14.829162441488;27.2419831484265;2858.16655967416;13692.1832515038;39.793490388124;13468.43931021;0.508334467001566;0;0.491665532998435;20.7607694271673;300.964233528198;613.839809184043;769.000745001649;656366.578901601;227.340527098377;447.953741326063;658.847234038534
2001-03-25;459724.656331166;459724.656331166;1;0;0;202201.401038774;209638.798324825;0;0;32912;0;3437.85452501122;6611.07853830303;4.88936795855954;6323.7503887387;0;5.89470953559574;5742.54073479962;6617.19842794327;8.11881362482044;7029.42773555431;0.453209107511004;0;0.546790892488996;35.8258345819611;226.652153862947;458.945599493124;516.471861971149;440415.246160862;142.306601493202;282.976460410434;458.985701607616;649731.859593149;649731.859593149;1;0;0;296885.112000793;316564.239475057;0;0;32960;0;4520.04123979245;14380.2848316928;21.7870867679291;14547.3071942203;13.2466353752967;30.8118517242839;2556.0469114482;15462.3057779922;40.4519046635571;14227.3848472433;0.500033217421304;0;0.499966782578696;18.8958565014606;274.793354195677;881.040878900582;1063.91132360391;649731.859593148;274.409218945428;416.32968584458;1029.1649824168;744763.978846109;744763.978846109;1;0;0;272443.561302232;422355.238862165;0;0;33104;0;4824.92662368504;15303.2875973366;22.8372938719694;15715.6464034842;14.8399875746443;33.9424831659876;3177.26157916363;16327.9234181918;49.8944313888208;15193.2420196628;0.51492049596037;0;0.48507950403963;24.7037503951841;319.302738295351;762.05570571267;897.711849534557;744763.978846108;231.263064671292;492.181597128342;772.596320154936
2001-04-01;460471.029933784;460471.029933784;1;0;0;179670.657654037;177566.838616037;0;0;32960;0;3518.63252016415;6812.47381902438;4.03602580350618;6793.322587972;0;5.60057741684572;5693.24238894012;6864.43886408042;7.70079840078175;7051.21109491341;0.457123278304793;0;0.542876721695207;46.3365817537241;225.266269329174;485.141681127792;752.495758466355;453323.958068081;130.882909800622;271.131480285292;576.741365694377;586713.087386069;586713.087386069;1;0;0;242357.102242799;292324.783493886;0;0;33040;0;4479.84688885782;13306.8344010803;19.4419188876628;13154.6120923052;11.9453850108421;28.6012287869831;2313.05004419344;13708.7304739479;38.029242549244;12787.7295027392;0.507841594512975;0;0.492158405487025;28.6383946591471;274.658540535232;559.33898585081;733.478951547152;586713.087386069;184.124750139382;358.918229053629;574.2326717389;576510.872535428;576510.872535428;1;0;0;184901.925448497;330739.602015984;0;0;33216;0;4286.98696395193;11933.4975438713;22.0917185877974;12193.4687487603;10.5086713330956;29.3508201329424;2474.05119323593;12486.7174660056;39.6621155074279;11832.0814640824;0.520986043544023;0;0.479013956455977;21.6197740492493;280.018980835323;561.035089985114;713.001546416637;576510.872535428;194.814855175658;327.01187197058;564.167590641801
2001-04-08;541027.099877573;541027.099877573;1;0;0;161251.459115535;335989.389149995;0;0;41008;0;4036.07236368215;7915.42774391833;6.60270980474157;7856.52830273755;0;9.93147901833898;6399.99206387136;7885.82720752973;12.7966655493221;8076.94315404857;0.465669397249992;0;0.534330602750008;8.34652599615502;206.280964199939;533.051611841723;722.408021513259;507211.634104244;131.745150402108;230.23490339899;568.321607807587;698221.680226107;698221.680226107;1;0;0;129189.9133006;529887.443424136;0;0;33136;0;4187.3637310751;16035.146216925;25.7472696282557;15631.5136521672;18.0948361373931;40.6490713083104;2779.28824204429;16395.3511512342;50.2652541388032;15427.553107358;0.520474440873252;0;0.479525559126748;1.22792761484724;274.291908064445;1194.27720872697;1545.73361024915;698221.680226107;274.39800715314;719.587324950032;1311.15848168019;843721.215479161;843721.215479161;1;0;0;116317.142000368;669789.814855934;0;0;33344;0;4548.37138534734;17596.8689604913;34.4350742553291;18125.8216945247;18.0939989217436;45.5554989197436;3603.39141967949;18400.6963001301;61.1503952380079;17509.4127251852;0.534884962728889;0;0.465115037271111;1.8960231131417;279.579841427118;1347.16361421789;1535.36724703957;843721.215479164;279.744423377227;921.968350473577;1535.27683814772
