period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-02-04;0;461709.120393912;451327.798699821;1226273.5289389;2.71703522909852;0;8.74094308681086;0.82771942323645;0;560641.158326992;560641.158326992;1305948.58316128;2.32938406994299;0;11.9286318812261;0.907506765300933;0;610215.450067043;610215.450067043;1538223.71159145;2.52078788143179;0;9.49474844051569;0.941926759973912
2001-02-11;0;350290.747085137;390877.209138622;722448.412245713;1.84827458689079;0.00445138249479061;12.7300861786417;0.737203770183604;0;610964.908091693;610964.908091693;1268647.58909039;2.07646555847687;0.0291913509657142;16.5540399068423;0.944826690432503;0;661293.507633176;661293.507633176;1448687.94615734;2.19068829413177;0.00496123526186638;13.0673343322305;0.967584221060422
2001-02-18;0;310755.014132586;311604.161973393;850645.051067599;2.72988988876289;0.038538714668958;17.4756557616578;0.777081388850766;0;682313.819826043;682313.819826043;1572838.16242281;2.30515360633295;0.05;26.4492251709246;0.979319919233157;0;702460.19563091;702460.19563091;1615215.76797684;2.29936981201638;0.05;26.1611356584646;0.97102375230666
2001-02-25;0;446363.070573425;432334.88809672;1034107.33316615;2.39191275475971;0.05;21.9873308703598;0.716766496032422;0;722375.335874543;722375.335874543;1406462.98902491;1.94699752217063;0.05;35.419661006145;0.966069968600734;0;688531.617281425;688531.617281425;1453105.77989398;2.11044161723666;0.05;36.6475008156356;0.986537126762289
2001-03-04;0;562806.940462013;539850.325876073;1105931.70095855;2.04858948480551;0.05;32.8253585971637;0.789682474064054;0;602056.836921946;602056.836921946;1490527.31335708;2.47572525042236;0.05;39.7768788030524;0.950763224615938;0;684627.654567969;684627.654567969;1595165.44128755;2.32997517795884;0.05;42.6672688812687;0.964854841149366
2001-03-11;0;503612.937861119;497550.134314953;1129995.94343589;2.27111976362284;0.05;42.5709142362231;0.88936318684244;0;646805.608570244;646805.608570244;1411310.37001051;2.18196990148276;0.05;40.0617144236718;0.925861709885337;0;624023.94588549;624023.94588549;1338510.11183352;2.14496594346901;0.05;42.4814126021963;0.942751878239725
2001-03-18;0;485087.048354992;477478.988810904;1108793.0319623;2.32218182987192;0.05;48.7936217897239;0.878089900096042;0;647315.855200107;647315.855200107;1340846.2796844;2.07139415621126;0.05;38.867463642265;0.902992732666478;0;672223.259337262;672223.259337262;1539574.67072694;2.29027283620741;0.05;42.8285676523935;0.9173063184847
2001-03-25;0;493260.381533482;490789.841500042;1068434.25790139;2.17696897441041;0.05;48.0618418725805;0.87197396427154;0;626891.376418848;626891.376418848;1388198.62449113;2.21441652686513;0.05;39.4308721577775;0.879300083278748;0;663215.824619541;663215.824619541;1482865.06648447;2.23587105650733;0.05;41.9136187891272;0.890307933669905
2001-04-01;0;486004.65801562;464368.485556253;877757.896724787;1.89021848817614;0.05;50.2721750578195;0.860178659799977;0;601832.550329701;601832.550329701;1266151.9550535;2.10382764169181;0.05;39.7040753851938;0.861015649725211;0;672239.401983594;672239.401983594;1391671.0108173;2.07020148880125;0.05;41.2541615115514;0.868426278815888
2001-04-08;0;634237.51432954;585298.838399582;1277562.03938717;2.18275170830764;0.05;44.900657157985;0.981857524497797;0;786252.921810066;786252.921810066;1519282.13826571;1.93230714458664;0.05;38.065467143939;0.970134552438136;0;854928.631863639;854928.631863639;1760708.36641392;2.05947993878248;0.05;40.400100122556;0.991920431628462
2001-04-15;0;607764.693894272;609526.089720783;1138698.10578362;1.86816959107566;0.05;38.6715875787905;0.965973683419134;0;826326.668146694;826326.668146694;1675334.7780241;2.02744851716039;0.05;35.548293726884;0.979482923295028;0;861382.55612157;861382.55612157;1614107.10187522;1.87385626793145;0.05;37.6979192878286;0.984691037317281
2001-04-22;0;590632.761136923;589144.256338965;957229.718655717;1.62477985375618;0.05;32.7247769965625;0.962393973811378;0;788946.750648138;788946.750648138;1684370.9769369;2.13496154911995;0.05;32.711230211999;0.980329419318897;0;866335.991287909;866335.991287909;1593375.9522853;1.83921246295743;0.05;34.6390676014622;0.98890680995246
2001-04-29;0;672266.137673332;706611.732990367;1295282.51000311;1.83308944577173;0.05;27.3721405953742;0.919441835135261;0;778349.273410153;778349.273410153;1594113.07075767;2.04806906772514;0.05;29.72718809382;0.967161397538833;0;832908.969586408;832908.969586408;1711176.83345883;2.05445840535075;0.05;31.7313288247826;0.972777349724928
2001-05-06;0;798737.018166313;843704.925444931;1680786.04235749;1.99214914085173;0.05;24.528350763034;0.828204768822406;0;727243.464345147;727243.464345147;1232665.03201569;1.69498261923283;0.05;26.798256544432;0.951677758941636;0;704402.23267872;704402.23267872;1465721.9115996;2.08080247847272;0.05;28.642820429517;0.925952191805788
